Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2017-18,3,84,Shake,Milton,AAC,22,22,800,24.2,0.606,0.551,0.471,0.405,381,2.1,13.5,7.7,25.9,2.4,2.3,13.3,25,1.92,2.8,1.3,4.2,0.208,1.6432,6.4,1.5,7.9,84.7,43.4,20.4414,44.7,31.6,36.12,48.3,27.6,16.94,49.73
2017-18,4,94,Devon,Hall,ACC,34,34,1091,20.3,0.599,0.552,0.454,0.292,392,1.4,14.9,8.3,19.6,1.8,0.6,9.6,19.5,3.06,3.3,2.6,5.9,0.215,2.279,6.1,4.5,10.6,89.4,43.2,19.6128,36.5,14.8,37.61,56.5,14.6,23.38,72.07
2017-18,3,341,Admiral,Schofield,SEC,35,34,982,19.8,0.554,0.528,0.409,0.227,434,6.6,19.4,13.1,11.8,2.1,1.8,12.6,26,0.83,2,2,4,0.164,1.2464,4.2,3.4,7.6,75.6,39.5,16.1555,39.1,39,26.11,65.1,59.3,12.84,26.8
2017-18,4,253,Kevin,Hervey,Sun Belt,33,25,1064,23.7,0.553,0.517,0.417,0.257,624,8,19.9,14.2,15.2,2.1,2.2,12.8,31,0.81,2.6,2,4.6,0.174,0.696,3.3,0.7,4,80.7,33.9,14.1363,39.4,52.4,22.2,65.2,52.4,15.04,26.66
2017-18,3,116,Matisse,Thybulle,Pac-12,34,33,1094,18.1,0.553,0.536,0.502,0.177,382,3.2,7.5,5.4,15.5,5.1,4.8,18.1,19.1,1.17,1.3,1.9,3.2,0.118,1.0384,2.9,5.8,8.8,71.4,36.5,18.323,35.3,16.7,30.16,65.6,28.8,22.63,53.53
2017-18,3,12,Allonzo,Trier,Pac-12,33,33,1124,22.6,0.654,0.593,0.499,0.501,558,1.3,9.1,5.5,17.4,1.1,1.1,13.1,23.9,1.55,4.5,1,5.5,0.196,1.5092,7.9,-0.2,7.7,86.5,38,18.962,45.9,2.6,48.15,75.8,32,24.97,93.27
2017-18,4,141,Vince,Edwards,Big Ten,35,35,1106,21.8,0.587,0.544,0.339,0.317,531,8.4,18.6,13.9,17.1,1,2,14,23.8,1.42,3.4,2.1,5.4,0.197,1.7533,5.6,3.3,8.9,83.3,39.8,13.4922,39.8,15.7,34.69,63.9,38.5,19.04,52.38
2017-18,4,253,Sviatoslav,Mykhailiuk,Big 12,39,39,1346,16.9,0.572,0.556,0.549,0.119,548,4,8.6,6.4,13.4,1.9,0.9,11.5,21,1.65,3.1,1.5,4.6,0.137,1.0001,5.6,1.7,7.3,80.4,44.4,24.3756,27.9,8.3,32.76,52,51.5,12.22,33.32
2017-18,4,106,Chandler,Hutchison,MWC,31,31,961,25.9,0.575,0.528,0.296,0.519,603,3.4,25.6,14.6,24.1,2.7,0.9,16.2,33.2,1.03,2.8,2.2,5,0.208,1.6432,3.6,4.3,7.9,72.8,35.9,10.6264,34.2,11.1,27.45,72,27.2,25.39,54.33
2017-18,4,352,Kenrich,Williams,Big 12,32,32,1153,20.6,0.568,0.546,0.351,0.295,464,9.7,21.5,15.7,18.1,2.8,1.4,14.9,18.7,1.91,3,1.6,4.6,0.158,1.6748,5.9,4.7,10.6,68.8,39.5,13.8645,35.6,31.2,23.78,64.5,47.4,16.44,33.14
2017-18,3,7,Malik,Newman,Big 12,39,33,1234,19.1,0.606,0.568,0.51,0.286,505,2,15.2,9,11.2,1.9,0.5,11.1,20.8,1.44,3.2,1.7,4.9,0.16,1.184,5.5,2,7.4,83.5,41.5,21.165,38.8,16.1,37.76,59.8,25.7,21.53,63.85
2017-18,2,63,Kevin,Huerter,Big Ten,32,32,1099,19.5,0.64,0.616,0.543,0.307,457,3.8,12.9,8.8,20.3,1.1,2.1,17.8,21.5,1.35,3,1.6,4.5,0.166,1.4442,6.5,2.3,8.7,75.8,41.7,22.6431,51.9,23.8,41.3,71.2,51.1,16.87,54.95
2017-18,3,136,Josh,Reaves,Big Ten,34,32,1048,20.7,0.582,0.56,0.388,0.275,385,6.6,12.7,9.7,18.7,4.2,1.8,13.7,17.3,2.18,2.7,2.2,4.9,0.185,2.072,5.9,5.3,11.2,70.7,37.7,14.6276,24.4,20,21.11,65.9,45.8,17.3,31.75
2017-18,1,16,Lonnie,Walker,ACC,32,18,888,16.3,0.527,0.503,0.509,0.204,344,1.7,9.2,5.5,13,2,1.8,9.6,22.4,1.65,1.6,1.3,2.8,0.127,0.6096,3.1,1.7,4.8,73.8,34.6,17.6114,32.8,20,28.17,58.9,41.1,16.81,38.82
2017-18,4,88,Gary,Clark,AAC,36,36,1025,29.6,0.612,0.571,0.204,0.52,462,12.1,22.3,17.3,14.8,3,5,8.7,20.4,2.11,4.3,3.5,7.8,0.303,4.6965,7.1,8.5,15.5,74.1,43.5,8.874,43,35,25.15,62.4,50.5,14.96,32.44
2017-18,3,107,Donte,DiVincenzo,Big East,40,10,1170,20.9,0.608,0.59,0.542,0.274,557,4.9,13.9,9.6,20,2,0.7,15.2,22.4,1.76,3.7,1.8,5.5,0.188,1.8048,6.7,2.9,9.6,71,40.1,21.7342,45.7,15.6,38.25,65.1,43.7,17.76,54.47
2017-18,1,11,Hamidou,Diallo,SEC,37,37,918,13.8,0.498,0.47,0.246,0.399,348,4.2,11.5,8.1,9.5,1.7,1.6,12,22.6,0.9,1.1,1.3,2.4,0.103,0.3296,1.3,1.9,3.2,61.6,33.8,8.3148,28,40,14.51,65.8,45.2,17.47,20.81
2016-17,4,36,Sindarius,Thornwell,SEC,31,31,1051,30.3,0.59,0.51,0.337,0.59,637,8.1,16.1,12,19.3,3.6,3.4,11.9,29.5,1.13,4.4,2.8,7.2,0.274,4.4388,9.5,6.7,16.2,83,39.2,13.2104,35.9,32.7,26.66,59.4,26.8,21.07,44.39
2016-17,4,97,Josh,Hart,Big East,36,35,1193,28.2,0.619,0.59,0.395,0.367,648,5.9,17.5,12.2,18.8,2.8,1,11.5,27.8,1.49,5.1,2.6,7.7,0.257,3.1097,8.2,4,12.1,74.7,40.4,15.958,39.1,11.1,33.94,70.9,42.7,19.68,53.08
2016-17,4,32,Semi,Ojeleye,AAC,35,35,1195,26.4,0.621,0.572,0.399,0.508,593,8.2,15,11.8,9.3,0.8,1.6,8.6,25.8,1.06,5.5,2.2,7.7,0.257,2.0817,7.9,0.2,8.1,78.5,42.4,16.9176,41.2,51,24.31,62.9,59.1,12.46,24.84
2016-17,3,59,Dillon,Brooks,Pac-12,35,27,886,25.6,0.585,0.556,0.336,0.299,526,4.9,9.6,7.4,23.1,2.5,2.2,13,31.6,1.32,3.1,1.6,4.7,0.214,1.8404,6.6,2.1,8.6,75.4,40.1,13.4736,40.8,30.2,28.21,64,34.4,20.34,45.67
2016-17,3,187,Kyle,Kuzma,Pac-12,29,29,894,25.1,0.565,0.542,0.233,0.352,481,11.3,23.3,17.7,15.2,1.1,1.6,12.8,27,1.15,2.8,1.8,4.6,0.204,1.3464,4.6,2,6.6,66.9,32.1,7.4793,36,41.7,17.78,67.2,38.7,19.96,28.92
2016-17,1,10,Jonathan,Isaac,ACC,32,32,839,24.6,0.614,0.568,0.348,0.461,364,7.7,25,16.7,7.5,2.4,6.2,13.3,20.3,0.77,2.4,1.9,4.3,0.205,2.2345,4.7,6.2,10.9,78,34.8,12.1104,41,36,26.52,69.8,48.6,17.38,36.11
2016-17,2,21,Luke,Kennard,ACC,37,36,1314,24.4,0.629,0.579,0.414,0.386,673,3.9,12.1,8.2,13.6,1.3,0.9,9.3,24,1.54,5.5,1.6,7.2,0.218,2.071,8.4,1.2,9.5,85.6,43.8,18.1332,48.2,20.2,41.99,61.8,18.2,24.49,80.21
2016-17,1,1,Josh,Jackson,Big 12,35,35,1077,24.1,0.559,0.552,0.21,0.403,572,8.7,17.4,13.3,18.2,3.1,3.5,15.9,27.2,1.07,2.7,2.2,4.9,0.18,1.926,5.1,5.7,10.7,56.6,37.8,7.938,38.1,18.6,21.52,69,41.7,19.49,33.6
2016-17,2,261,OG,Anunoby,Big Ten,16,10,402,23.8,0.611,0.615,0.369,0.393,167,8.5,16.1,12.5,11,3,5.5,15.2,20.8,0.88,1.1,0.7,1.7,0.172,1.7372,5.4,4.7,10.1,56.3,31.1,11.4759,30,33.3,17,76.1,45.1,20.24,27.57
2016-17,1,3,Jayson,Tatum,ACC,29,27,966,22,0.566,0.507,0.321,0.381,467,4.8,19.7,12.6,12.4,2.3,3.2,15,26.2,0.82,2.3,1.8,4.1,0.169,1.2675,3.5,4.1,7.5,84.9,34.2,10.9782,39.4,12,34.93,62,29.3,21.24,57.28
2016-17,4,128,Sterling,Brown,AAC,35,34,1143,21.8,0.583,0.546,0.387,0.313,463,6,16.9,11.7,17.9,2.8,2.2,14.6,21.9,1.52,3.3,2.7,6,0.211,2.0256,5.4,4.3,9.6,79.1,44.9,17.3763,40.8,35.3,29.57,54.4,26.5,19.37,46
2016-17,3,9,Justin,Jackson,ACC,40,39,1281,21.3,0.555,0.531,0.477,0.22,660,4.8,10.8,7.8,15.8,1.3,0.8,9.5,25.7,1.64,4.3,1.8,6.1,0.19,1.786,7.5,1.9,9.4,74.8,37,17.649,39.4,33.8,28.33,66.7,58,13.57,32.11
