Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
DeMarre Carroll,2008-09,80,207,SF/PF,Missouri,4,137.0,38,38,1064,,0.591,0.5760000000000001,0.1,0.433,,,,13.9,15.2,,1.8,9.5,25.9,3.6,3.6,7.2,0.271,,,,,,1.46,578,23.7,29.5,.104,0.0,6.7,+3.0
Wesley Matthews,2008-09,77,215,SG,Marquette,4,85.0,35,35,1191,,0.607,0.527,0.281,0.633,,,,9.9,14.8,,1.2,13.4,25.1,4.1,2.3,6.4,0.214,,,,,,1.05,831,31.3,52.2,.096,0.0,12.9,+2.0
Jodie Meeks,2008-09,76,211,SG,Kentucky,3,39.0,36,36,1237,,0.629,0.5660000000000001,0.507,0.412,,,,5.7,11.7,,0.3,12.4,30.9,6.3,1.1,7.4,0.24,,,,,,0.66,539,22.5,24.3,.096,-0.6,4.2,-2.2
Terrel Harris,2008-09,76,190,SG,Oklahoma State,4,75.0,35,35,1110,,0.608,0.5710000000000001,0.439,0.35200000000000004,,,,8.5,11.6,,0.9,13.9,20.6,3.0,1.3,4.3,0.154,,,,,,1.03,42,10.8,-0.6,-0.059,-7.3,-0.6,-12.5
Chris Johnson,2008-09,83,205,PF/C,LSU,4,275.0,35,35,883,,0.499,0.456,0.021,0.318,,,,15.8,8.5,,8.3,17.3,18.3,0.5,3.6,4.1,0.188,,,,,,0.72,71,8.4,1.5,.120,-1.7,0.0,-9.3
AJ Price,2008-09,74,193,PG,UConn,4,27.0,35,35,1112,,0.5379999999999999,0.506,0.489,0.309,,,,5.8,28.2,,0.0,16.4,25.1,2.1,1.9,4.0,0.14400000000000002,,,,,,1.74,0,0,0,0,0,0,0
Courtney Fells,2008-09,78,210,SG,NC State,4,26.0,27,26,800,,0.58,0.5529999999999999,0.444,0.173,,,,7.1,10.1,,2.0,14.9,19.9,1.7,0.7,2.4,0.122,,,,,,0.87,0,0,0,0,0,0,0
Alonzo Gee,2008-09,78,219,SG,Alabama,4,31.0,32,32,1027,,0.506,0.476,0.18600000000000005,0.405,,,,11.9,8.3,,1.5,13.3,25.4,1.1,1.9,3.0,0.116,,,,,,0.56,417,21.8,9.7,.051,-2.2,-0.4,-3.4
Alex Ruoff,2008-09,78,220,SG,West Virginia,4,164.0,33,33,1176,,0.584,0.544,0.615,0.32299999999999995,,,,5.7,19.4,,0.8,13.5,21.5,3.2,2.9,6.1,0.209,,,,,,1.62,0,0,0,0,0,0,0
Paul Harris,2008-09,76,220,SG/SF,Syracuse,3,12.0,37,36,1130,,0.568,0.51,0.141,0.5379999999999999,,,,,,,,16.6,,2.2,2.1,4.3,0.151,,,,,,1.03,0,0,0,0,0,0,0
Chinemelu Elonu,2008-09,82,235,PF,Texas A&M,3,,34,30,810,,0.664,0.665,0.0,0.624,,,,,,,,19.8,,2.9,2.2,5.1,0.252,,,,,,0.16,0,0,0,0,0,0,0
Jon Brockman,2008-09,79,255,PF,Washington,4,29.0,34,34,1036,,0.557,0.526,0.003,0.546,,,,,,,,12.5,,2.3,2.8,5.1,0.197,,,,,,0.6,150,10.5,3.7,.113,-3.9,-0.8,+4.3
Jack McClinton,2008-09,73,185,SG,Miami,4,,32,31,1030,,0.608,0.563,0.501,0.294,,,,5.2,21.0,,0.1,14.2,28.3,4.2,1.3,5.5,0.214,,,,,,1.08,0,0,0,0,0,0,0
Stefon Jackson,2008-09,77,185,SG,UTEP,4,,37,37,1336,,0.542,0.452,0.158,0.5670000000000001,,,,,,,,8.5,,3.5,1.8,5.3,0.159,,,,,,0.91,0,0,0,0,0,0,0
Alade Aminu,2008-09,82,220,SF/PF,Georgia Tech,4,89.0,31,19,843,,0.535,0.522,0.0,0.327,,,,15.7,5.4,,5.0,15.5,22.4,1.3,2.4,3.7,0.174,,,,,,0.33,0,0,0,0,0,0,0
Josh Akognon,2008-09,71,185,PG,Cal State Fullerton,4,399.0,32,32,1140,,0.555,0.511,0.5920000000000001,0.239,,,,,,,,10.9,,3.4,0.6,4.0,0.14,,,,,,0.61,3,3.0,0.0,.196,-3.0,0.0,-30.6
Brandon Costner,2008-09,80,230,SF,NC State,3,23.0,30,30,849,,0.5760000000000001,0.535,0.413,0.42,,,,12.6,17.4,,2.6,19.6,26.1,2.2,1.0,3.2,0.15,,,,,,0.85,0,0,0,0,0,0,0
Lester Hudson,2008-09,75,190,PG/SG,Tennessee-Martin,4,,32,32,1153,,0.5660000000000001,0.525,0.429,0.241,,,,12.2,27.5,,1.2,12.0,36.4,4.3,3.3,7.6,0.263,,,,,,1.27,57,10.4,0.2,.016,-2.1,0.0,+0.3
Robert Vaden,2008-09,77,205,SG,UAB,4,36.0,34,34,1240,,0.527,0.504,0.621,0.192,,,,8.0,11.9,,1.4,12.9,27.5,2.1,2.4,4.5,0.146,,,,,,0.83,0,0,0,0,0,0,0
Micah Downs,2008-09,79,180,SG/SF,Gonzaga,4,24.0,34,23,866,,0.5720000000000001,0.528,0.504,0.325,,,,10.0,7.7,,1.5,8.4,18.2,1.7,2.0,3.7,0.171,,,,,,1.5,0,0,0,0,0,0,0
Daniel Hackett,2008-09,78,210,PG/SG,USC,3,65.0,35,35,1307,,0.578,0.527,0.369,0.5489999999999999,,,,,,,,23.8,,2.7,1.9,4.7,0.14300000000000002,,,,,,1.43,0,0,0,0,0,0,0
Luke Nevill,2008-09,85,265,C,Utah,4,386.0,34,34,1084,,0.659,0.607,0.0,0.65,,,,17.5,9.8,,6.8,15.9,25.8,4.9,2.1,7.0,0.259,,,,,,0.54,0,0,0,0,0,0,0
AJ Abrams,2008-09,71,155,PG/SG,Texas,4,105.0,35,35,1319,,0.5429999999999999,0.507,0.5479999999999999,0.217,,,,3.3,6.9,,0.2,8.2,21.6,2.4,1.7,4.1,0.125,,,,,,0.96,0,0,0,0,0,0,0
Josh Shipp,2008-09,77,220,SG,UCLA,4,37.0,33,33,962,,0.62,0.586,0.377,0.315,,,,6.7,10.4,,1.1,13.4,24.1,3.4,1.5,4.9,0.204,,,,,,0.85,0,0,0,0,0,0,0
Dominic James,2008-09,71,180,PG,Marquette,4,51.0,29,28,910,,0.481,0.481,0.403,0.309,,,,6.4,30.6,,0.8,14.1,20.7,0.4,1.9,2.3,0.1,,,,,,2.67,0,0,0,0,0,0,0
Jeremy Pargo,2008-09,74,219,PG,Gonzaga,4,108.0,34,34,1019,,0.542,0.519,0.222,0.243,,,,6.4,28.7,,0.4,20.1,20.0,1.5,2.2,3.7,0.145,,,,,,2.06,86,13.1,-0.8,-0.033,-5.0,-0.9,-9.7
Russell Hicks,2008-09,84,255,C,Florida International,4,,19,13,367,,0.494,0.455,0.008,0.459,,,,,,,,16.1,,0.3,0.8,1.1,0.116,,,,,,0.19,0,0,0,0,0,0,0
Josh Carter,2008-09,79,195,SG,Texas A&M,4,244.0,34,34,1041,,0.602,0.55,0.585,0.376,,,,,,,,8.9,,3.1,1.3,4.4,0.171,,,,,,1.55,0,0,0,0,0,0,0
Cedric Jackson,2008-09,75,180,PG,Cleveland State,4,180.0,37,37,1231,,0.479,0.439,0.313,0.458,,,,10.2,33.2,,0.5,23.9,23.3,0.6,4.4,4.9,0.16,,,,,,1.51,12,6.2,-0.2,-0.111,-6.8,-0.1,-5.2
