Name,Height,Weight,Position,School,Class,RSCI
Kevin Palmer,6-6,205,SF,Texas A&M Corpus Christi,Sr.,
Magnum Rolle,6-10,220,SF/PF,Louisiana Tech,Sr.,33
JP Prince,6-7,205,SG,Tennessee,Sr.,
Theo Robertson,6-6,220,SG/SF,California,Sr.,
Ben Uzoh,6-3,200,PG/SG,Tulsa,Sr.,
Ryan Thompson,6-6,210,SG/SF,Rider,Sr.,
Deon Thompson,6-8,240,PF,North Carolina,Sr.,45
Tommy Mason-Griffin,5-10,203,PG,Oklahoma,Fr.,28
Jon Scheyer,6-6,180,PG/SG,Duke,Sr.,28
Edwin Ubiles,6-6,198,SG,Siena,Sr.,
Tyren Johnson,6-8,204,SF,Louisiana Lafayette,Sr.,
DeShawn Sims,6-8,230,SF/PF,Michigan,Sr.,33
Sylven Landesberg,6-6,210,SG,Virginia,So.,34
Wayne Chism,6-8,246,PF,Tennessee,Sr.,55
Marqus Blakely,6-5,225,SF,Vermont,Sr.,
Jerome Randle,5-10,165,PG,California,Sr.,126
Raymar Morgan,6-7,210,SF,Michigan St.,Sr.,35
Aubrey Coleman,6-3,210,SG,Houston,Sr.,
Landry Fields,6-7,210,SF,Stanford,Sr.,245
Marcus Johnson,6-6,210,SG,USC,Sr.,54
Omar Samhan,6-10,265,C,St. Mary's,Sr.,
Dominique Archie,6-7,200,SF,South Carolina,Sr.,134
Patrick Christopher,6-5,210,SG/SF,California,Sr.,49
Scottie Reynolds,6-1,185,PG,Villanova,Sr.,38
Derrick Williams,6-8,248,SF/PF,Arizona,So.,101
Enes Kanter,6-11,259,PF/C,Kentucky,Fr.,8
Kyrie Irving,6-3,191,PG,Duke,Fr.,3
Brandon Knight,6-3,177,PG/SG,Kentucky,Fr.,5
Jimmer Fredette,6-2,196,PG,,Sr.,229
Tristan Thompson,6-9,227,PF,Texas,Fr.,12
Alec Burks,6-6,193,PG/SG,Colorado,So.,194
Klay Thompson,6-7,206,SG/SF,Washington State,Jr.,61
Kemba Walker,6-1,184,PG,UConn,Jr.,16
Kawhi Leonard,6-7,227,SF,San Diego St.,So.,54
Marcus Morris,6-8,230,SF/PF,Kansas,Jr.,63
Markieff Morris,6-9,241,PF,Kansas,Jr.,93
Jordan Hamilton,6-8,228,SG/SF,Texas,So.,30
Tobias Harris,6-8,223,SF/PF,Tennessee,Fr.,6
Tyler Honeycutt,6-8,187,SG/SF,UCLA,So.,34
Chris Singleton,6-9,230,SF/PF,Florida St.,Jr.,15
Marshon Brooks,6-5,195,SG,Providence,Sr.,297
Trey Thompkins,6-10,239,PF,Georgia,Jr.,26
Kenneth Faried,6-7,225,PF,Morehead St.,Sr.,
Darius Morris,6-4,190,PG,Michigan,So.,115
JaJuan Johnson,6-10,220,PF,Purdue,Sr.,35
Justin Harper,6-9,228,PF,Richmond,Sr.,
Nikola Vucevic,6-11,260,C,USC,Jr.,
Norris Cole,6-1,174,PG,Cleveland St.,Sr.,
Kyle Singler,6-9,228,SF,Duke,Sr.,6
Shelvin Mack,6-2,205,PG/SG,Butler,Jr.,
Nolan Smith,6-3,189,PG/SG,Duke,Sr.,19
Reggie Jackson,6-3,200,PG/SG,Boston College,Jr.,140
Chandler Parsons,6-10,221,SF,Florida,Sr.,40
Travis Leslie,6-4,205,SG/SF,Georgia,Jr.,147
Jon Leuer,6-11,223,PF,Wisconsin,Sr.,89
Malcolm Lee,6-5,198,PG/SG,UCLA,Jr.,22
Josh Selby,6-3,195,PG/SG,Kansas,Fr.,4
Jordan Williams,6-9,247,PF,Maryland,So.,99
Cory Joseph,6-3,186,PG,Texas,Fr.,13
Iman Shumpert,6-5,222,PG/SG,Georgia Tech,Jr.,24
Andrew Goudelock,6-2,198,PG/SG,Charleston,Sr.,
Keith Benson,6-11,217,C,Oakland,Sr.,
Charles Jenkins,6-3,216,PG/SG,Hofstra,Sr.,
Matthew Bryan-Amaning,6-10,232,PF,Washington,Sr.,50
Jimmy Butler,6-7,222,SF,Marquette,Sr.,
Malcolm Thomas,6-9,223,PF,San Diego St.,Sr.,
Willie Reed,6-9,220,PF,St. Louis,Jr.,
Ravern Johnson,6-6,170,SG/SF,Mississippi St.,Sr.,87
Julyan Stone,6-6,200,PG,UTEP,Sr.,
Rick Jackson,6-9,242,PF,Syracuse,Sr.,61
DeAndre Liggins,6-6,202,SG,Kentucky,Jr.,35
Greg Smith,6-9,253,PF/C,Fresno St.,So.,131
Jereme Richmond,6-7,207,SF,Illinois,Fr.,27
E'twaun Moore,6-4,191,PG/SG,Purdue,Sr.,26
David Lighty,6-6,216,SG,Ohio St.,Sr.,32
Cam Long,6-4,192,SG,George Mason,Sr.,
Justin Hurtt,6-4,195,SG,Tulsa,Sr.,
LaceDarius Dunn,6-4,188,SG,Baylor,Sr.,38
DeAngelo Casto,6-8,255,PF,Washington State,Jr.,
Jamie Skeen,6-8,242,PF,VCU,Sr.,52
Gary Flowers,6-8,214,SF,Southern Miss.,Sr.,86
Diante Garrett,6-5,181,PG,Iowa St.,Sr.,
Vernon Macklin,6-10,244,PF,Florida,Sr.,17
Xavier Silas,6-4,200,SG,Northern Illinois,Sr.,
Chris Wright,6-8,217,SF/PF,Dayton,Sr.,32
Jon Diebler,6-6,197,SG,Ohio St.,Sr.,58
Mike Davis,6-9,213,SF/PF,Illinois,Sr.,
Demetri McCamey,6-3,204,PG,Illinois,Sr.,66
Brad Wanamaker,6-4,208,PG/SG,Pittsburgh,Sr.,90
John Holland,6-5,210,SG,Boston University,Sr.,
Scotty Hopson,6-7,205,SG/SF,Tennessee,Jr.,12
Justin Brownlee,6-7,219,SF,St. Johns,Sr.,
Dogus Balbay,6-1,180,PG,Texas,Sr.,
Austin Freeman,6-4,225,SG,Georgetown,Sr.,15
