Name,Height,Weight,Position,School,Class,RSCI
Aubrey Dawkins,6-6,205,SG/SF,Central Florida,Jr.,
James Palmer,6-6,210,SG,Nebraska,Sr.,130
Ignas Brazdeikis,6-7,220,SF,Michigan,Fr.,108
Shamorie Ponds,6-1,180,PG,St. Johns,Jr.,45
D'Marcus Simonds,6-3,195,PG/SG,Georgia St.,Jr.,196
Caleb Martin,6-6,200,SG/SF,Nevada,Sr.,57
Jordan Poole,6-5,190,PG/SG,Michigan,So.,89
Dewan Hernandez,6-10,235,C,Miami,Jr.,23
Marques Bolden,6-11,250,C,Duke,Jr.,16
Aric Holman,6-10,225,PF,Mississippi St.,Sr.,98
Matt Morgan,6-2,180,SG,Cornell,Sr.,
Chris Clemons,5-9,180,PG,Campbell,Sr.,
Robert Franks,6-8,230,SF/PF,Washington State,Sr.,
Quinndary Weatherspoon,6-4,205,SG,Mississippi St.,Sr.,99
Charles Matthews,6-6,195,SG,Michigan,Jr.,52
Christ Koumadje,7-4,265,C,Florida St.,Sr.,169
Donta Hall,6-9,230,C,Alabama,Sr.,202
Dedric Lawson,6-8,235,PF,Kansas,Jr.,31
Bennie Boatwright,6-10,230,PF,USC,Sr.,62
CJ Massinburg,6-3,195,SG,Buffalo,Sr.,
Cody Martin,6-6,190,SG,Nevada,Sr.,74
Jarrey Foster,6-6,220,SF,SMU,Sr.,306
Barry Brown,6-3,195,PG/SG,Kansas State,Sr.,338
Jarrell Brantley,6-7,255,PF,Charleston,Sr.,
Anthony Edwards,6-5,225,SG,Georgia,Fr.,2
James Wiseman,7-1,235,C,Memphis,Fr.,1
Obi Toppin,6-9,220,PF,Dayton,So.,
Cole Anthony,6-2,185,PG,North Carolina,Fr.,3
Jaden McDaniels,6-10,185,SF/PF,Washington,Fr.,23
Vernon Carey,6-10,265,PF/C,Duke,Fr.,4
Nico Mannion,6-3,190,PG,Arizona,Fr.,9
Precious Achiuwa,6-9,225,SF/PF,Memphis,Fr.,12
N'Faly Dante,6-11,240,C,Mali,Fr.,14
Onyeka Okongwu,6-9,235,PF/C,USC,Fr.,19
Tyrese Haliburton,6-5,185,PG,Iowa St.,So.,196
Isaiah Stewart,6-9,245,PF/C,Washington,Fr.,6
Zeke Nnaji,6-11,240,PF/C,Arizona,Fr.,34
Ochai Agbaji,6-5,210,SG,Kansas,So.,190
Daniel Oturu,6-10,240,C,Minnesota,So.,52
Aaron Nesmith,6-6,215,SG/SF,Vanderbilt,So.,54
Jordan Nwora,6-7,220,SF,Louisville,Jr.,74
Jay Scrubb,6-6,220,SG,JUCO,So.,
Josh Green,6-5,200,SG,Arizona,Fr.,13
Ashton Hagans,6-3,190,PG,Kentucky,So.,14
Devon Dotson,6-1,180,PG,Kansas,So.,23
Tyrese Maxey,6-2,190,SG,Kentucky,Fr.,10
CJ Elleby,6-6,185,SF,Washington State,So.,
Paul Reed,6-9,210,PF,DePaul,Jr.,234
DJ Carton,6-2,190,PG,Marquette,Fr.,30
Omer Yurtseven,7-0,275,C,Georgetown,Jr.,
Udoka Azubuike,6-11,280,C,Kansas,Sr.,29
Tyler Bey,6-7,215,SF/PF,Colorado,Jr.,124
Jalen Smith,6-10,215,PF,Maryland,So.,19
Steven Enoch,6-10,250,C,Louisville,Sr.,
Filip Petrusev,6-11,225,C,Gonzaga,So.,82
AJ Lawson,6-6,165,SG,South Carolina,So.,
Tyrell Terry,6-3,170,PG,Stanford,Fr.,91
Markus Howard,5-11,175,PG,Marquette,Sr.,87
Aaron Henry,6-6,220,SG/SF,Michigan St.,So.,121
Tre Jones,6-2,185,PG,Duke,So.,11
Anton Watson,6-9,205,SF/PF,Gonzaga,Fr.,48
Devin Vassell,6-7,195,SG,Florida St.,So.,184
Malachi Flynn,6-2,175,PG,San Diego St.,Jr.,
Saddiq Bey,6-8,215,SF,Villanova,So.,125
Austin Wiley,6-10,260,C,Auburn,Sr.,
Isaiah Joe,6-5,165,PG/SG,Arkansas,So.,187
Reggie Perry,6-9,250,PF,Mississippi St.,So.,30
Payton Pritchard,6-2,195,PG,Oregon,Sr.,51
Mamadi Diakite,6-9,230,PF,Virginia,Sr.,
Scottie Lewis,6-5,180,SG/SF,Florida,Fr.,7
Chris Smith,6-8,205,SF/PF,UCLA,Jr.,112
Landers Nolley,6-7,230,SG,Memphis,So.,81
Terrence Shannon,6-6,210,SG/SF,Texas Tech,Fr.,80
Romeo Weems,6-7,210,SF,DePaul,Fr.,53
Nahziah Carter,6-6,205,SF,Washington,Jr.,
Jahmius Ramsey,6-3,190,PG/SG,Texas Tech,Fr.,
Cassius Winston,6-1,185,PG,Michigan St.,Sr.,32
Cassius Stanley,6-5,190,SG,Duke,Fr.,29
Corey Kispert,6-6,215,SF,Gonzaga,Jr.,104
David Duke,6-5,200,PG/SG,Providence,So.,43
Killian Tillie,6-10,220,PF,Gonzaga,Sr.,
Nick Richards,6-11,245,C,Kentucky,Jr.,17
Mustapha Heron,6-5,220,SG,St. Johns,Sr.,22
Jordan Bowden,6-5,185,SG,Tennessee,Sr.,188
Kira Lewis,6-3,165,PG,Alabama,So.,45
Jeremiah Robinson-Earl,6-9,230,PF,Villanova,Fr.,15
James Akinjo,6-0,170,PG,,So.,102
Rayshaun Hammonds,6-8,235,PF,Georgia,Jr.,48
Keyontae Johnson,6-5,225,SG,Florida,So.,76
Bryan Antoine,6-5,170,SG,Villanova,Fr.,11
Davide Moretti,6-2,185,PG/SG,Texas Tech,So.,158
Desmond Bane,6-5,220,SG,TCU,Sr.,
Trendon Watford,6-8,225,SF,LSU,Fr.,14
TyShon Alexander,6-4,200,PG/SG,Creighton,So.,
Aaron Wiggins,6-6,180,SG,Maryland,So.,51
Karim Mane,6-4,200,SG,,So.,
Ayo Dosunmu,6-4,185,PG/SG,Illinois,So.,31
Malik Fitts,6-8,230,SF,St. Mary's,Jr.,248
John Petty,6-5,195,SG,Alabama,Jr.,29
Courtney Ramey,6-3,185,PG,Texas,So.,36
Lamar Stevens,6-7,230,SF/PF,Penn State,Sr.,89
Both Gach,6-7,195,SG/SF,Utah,So.,168
Samuell Williamson,6-6,185,SG/SF,Louisville,Fr.,20
Kahlil Whitney,6-7,200,SF,Kentucky,Fr.,16
Naji Marshall,6-7,220,SG/SF,Xavier,Jr.,58
Matthew Hurt,6-9,215,SF/PF,Undecided,Fr.,8
Andrew Nembhard,6-4,190,PG,Florida,So.,22
Charles Bassey,6-10,240,PF/C,Western Kentucky,So.,9
Michael Devoe,6-5,195,PG/SG,Georgia Tech,So.,58
Kaleb Wesson,6-9,270,C,Ohio St.,So.,82
Garrison Brooks,6-9,230,PF/C,North Carolina,Jr.,146
Matt Haarms,7-2,250,C,Purdue,Jr.,
