Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2017-18,2,196,D'Marcus,Simonds,Sun Belt,35,35,1223,23.9,0.53,0.496,0.24,0.346,759,4.5,13.8,9.4,28.7,2.9,2.6,15.4,35.2,1.2,2.6,2.3,5,0.163,0.4727,1.6,1.3,2.9,70.2,29.2,7.008,31.3,7.8,23.76,62.6,15.8,25.54,47.91
2016-17,1,223,De'Anthony,Melton,Pac-12,36,25,972,19.2,0.53,0.483,0.32,0.472,351,6,13.6,9.9,22.5,4,3.9,18.5,17.7,1.95,1.7,1.5,3.2,0.133,1.1039,3,5.3,8.3,70.6,28.4,9.088,34,25,22.55,58.2,42.4,16.24,31.37
2016-17,1,4,Markelle,Fultz,Pac-12,25,25,892,27.9,0.558,0.535,0.287,0.383,582,4,13.9,8.9,35.5,2.4,3.1,13.4,31.4,1.85,3.3,0.5,3.8,0.172,1.5652,7.7,1.4,9.1,64.9,41.3,11.8531,43.8,12.5,30.8,61.6,17.4,24.65,60.64
2016-17,1,5,Lonzo,Ball,Pac-12,36,36,1263,24.7,0.673,0.668,0.566,0.286,609,3.2,14.3,9.3,31.4,2.8,2.1,18.6,18.1,3.08,4.8,2,6.8,0.214,2.6108,8.7,3.5,12.2,67.3,41.2,23.3192,46.2,8.3,40.17,78.9,51.5,18.54,62.02
2016-17,1,6,De'Aaron,Fox,SEC,36,34,1064,22.6,0.549,0.498,0.154,0.474,608,2,12.2,7.2,28.6,2.7,0.7,13.7,27.6,1.9,3,2.1,5.1,0.192,1.6704,5.1,3.7,8.7,73.6,24.6,3.7884,36.2,16.9,24.03,64.2,19.6,25.01,48.87
2016-17,1,7,Dennis,Smith Jr.,ACC,32,32,1114,23.1,0.563,0.52,0.364,0.476,621,2.7,11.5,7.3,34.2,3.1,1.2,17.3,27.2,1.82,3.1,0.9,4,0.142,1.0366,6.3,1,7.3,71.5,35.9,13.0676,,,,,,,N/A
2016-17,1,11,Malik,Monk,SEC,38,37,1218,21.5,0.586,0.543,0.47,0.323,661,1.1,7.2,4.2,13.3,1.6,1.5,10.4,27.2,1.16,3.9,1.9,5.8,0.189,1.512,6.7,1.3,8,82.2,39.7,18.659,37.9,20.3,34.16,68.4,47.4,17.43,46.98
2016-17,5,354,Derrick,White,Pac-12,34,32,1116,27.3,0.627,0.578,0.356,0.45,602,3.5,10.5,7,28.6,2.2,4.9,14.2,25.3,1.83,4.5,1.4,5.9,0.211,2.4898,8.6,3.2,11.8,81.3,39.6,14.0976,43.7,28.8,32.34,68.1,16.7,27.48,70.31
2016-17,2,26,Jawun,Evans,Big 12,32,32,936,27.3,0.535,0.475,0.197,0.396,659,2.8,10.9,6.8,43.6,3.3,0.5,13.6,32.7,2.28,4,0.8,4.8,0.206,1.8746,7.7,1.4,9.1,81.2,37.9,7.4663,37.4,8.6,31.49,50.4,5.1,23.17,59.28
2016-17,4,96,Monte,Morris,Big 12,35,35,1237,24.7,0.555,0.523,0.308,0.239,645,3.7,11.3,7.6,32,2.4,0.8,7.5,22.8,5.17,4.8,1.7,6.5,0.21,2.247,7.8,2.9,10.7,80.2,37.8,11.6424,40.3,15.2,33.23,65.9,27.7,23.08,67.86
