Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Josh Heytvelt,2008-09,6-11,246,PF,Gonzaga,Sr.,74.0,34.0,34.0,993,,0.609,0.5770000000000001,0.16699999999999998,0.456,,,,12.5,4.3,,2.4,9.4,23.5,3.4,2.5,5.8,0.235,,,,,,0.51,0,0,0,0,0,0,0
Austin Daye,2008-09,6-11,192,SF,Gonzaga,So.,35.0,34.0,33.0,895,,0.56,0.532,0.252,0.327,,,,14.5,7.8,,6.2,15.9,26.0,2.1,3.6,5.7,0.255,,,,,,0.51,293,14.1,4.5,.053,-2.0,0.0,-2.9
Jeff Pendergraph,2008-09,6-10,240,PF,Arizona State,Sr.,125.0,35.0,35.0,1139,,0.69,0.66,0.003,0.483,,,,16.8,6.7,,2.3,10.4,21.1,5.1,2.3,7.3,0.258,,,,,,0.72,237,9.8,6.3,.131,-2.3,-0.2,-5.4
Curtis Jerrells,2008-09,6-1,195,PG,Baylor,Sr.,,39.0,39.0,1351,,0.564,0.51,0.449,0.464,,,,,,,,17.5,,3.2,1.6,4.9,0.14400000000000002,,,,,,1.61,0,0,0,0,0,0,0
Jerel McNeal,2008-09,6-3,190,SG,Marquette,Sr.,60.0,35.0,35.0,1226,,0.5579999999999999,0.522,0.404,0.343,,,,7.6,24.4,,1.4,14.2,28.9,3.2,2.6,5.9,0.191,,,,,,1.33,6,6.0,-0.1,-0.149,-9.1,-0.1,-3.3
Jeff Adrien,2008-09,6-6,235,PF,UConn,Sr.,43.0,36.0,36.0,1245,,0.529,0.505,0.003,0.495,,,,15.2,9.2,,2.3,12.3,20.7,1.7,3.5,5.2,0.166,,,,,,0.92,153,14.0,4.4,.098,-2.2,-0.1,+1.9
Leo Lyons,2008-09,6-9,235,SF/PF,Missouri,Sr.,58.0,37.0,33.0,861,,0.569,0.5,0.036000000000000004,0.6859999999999999,,,,14.2,15.8,,2.3,15.2,30.4,2.7,3.1,5.7,0.266,,,,,,0.86,0,0,0,0,0,0,0
Dante Cunningham,2008-09,6-8,227,SF/PF,Villanova,Sr.,,38.0,38.0,1199,,0.557,0.525,0.004,0.383,,,,,,,,13.0,,2.8,3.6,6.3,0.212,,,,,,0.57,715,20.8,24.9,.080,-1.7,1.1,-2.2
Robert Dozier,2008-09,6-10,215,SF/PF,Memphis,Sr.,103.0,37.0,36.0,1118,,0.594,0.552,0.175,0.5379999999999999,,,,13.7,9.3,,4.4,15.6,20.7,3.1,5.3,8.4,0.302,,,,,,0.72,0,0,0,0,0,0,0
Danny Green,2008-09,6-6,208,SF,UNC,Sr.,18.0,38.0,38.0,1040,,0.5920000000000001,0.569,0.471,0.156,,,,8.9,16.3,,3.4,13.0,20.5,2.7,3.6,6.3,0.241,,,,,,1.65,681,25.4,42.7,.118,2.1,17.9,+4.3
