Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM
Caleb Love,2020-21,76,195,PG,UNC,1,14.0,29,26,802,8.8,0.41700000000000004,0.368,0.389,0.237,315.0,1.4,8.7,5.0,23.1,2.4,1.4,19.7,25.9,-0.1,1.1,1.0,0.048,-1.8,1.5,-0.2,88.0,100.9,1.16,?,?,?,?,?,?,?,0.988636,1,0
Isaiah Jackson,2020-21,82,205,PF,Kentucky,1,30.0,25,18,518,25.4,0.5870000000000001,0.54,0.015,0.657,208.0,11.2,23.3,17.3,7.5,2.1,12.7,17.5,20.5,1.2,1.2,2.4,0.187,2.3,6.1,8.4,111.9,90.7,0.47,?,?,?,?,?,?,?,5.123452e-05,1,0
MJ Walker,2020-21,77,215,SG,Florida State,4,28.0,23,22,672,15.4,0.5920000000000001,0.5489999999999999,0.495,0.363,270.0,1.9,7.5,4.9,15.8,1.8,1.6,20.3,22.0,1.4,0.7,2.1,0.125,3.1,1.4,4.6,108.6,103.7,0.97,?,?,?,?,?,?,?,0.461824,0,0
Jared Butler,2020-21,75,195,PG/SG,Baylor,3,97.0,27,27,813,24.8,0.591,0.569,0.491,0.23399999999999999,446.0,1.6,11.2,6.4,27.9,4.0,1.5,17.2,27.4,3.0,1.8,4.8,0.23600000000000002,6.9,4.2,11.1,116.6,92.2,1.62,?,?,?,?,?,?,?,0.006955117,1,1
Sharife Cooper,2020-21,73,180,PG,Auburn,1,24.0,12,12,397,22.9,0.519,0.4270000000000001,0.31,0.56,270.0,2.2,11.3,6.9,51.9,1.6,0.7,17.7,33.1,1.4,0.3,1.7,0.174,4.7,-0.4,4.3,110.6,106.6,1.94,?,?,?,?,?,?,?,0.99683553,1,0
Terrence Clarke,2020-21,79,195,SG,Kentucky,1,8.0,8,6,229,7.6,0.45799999999999996,0.45399999999999996,0.303,0.22399999999999998,74.0,2.9,7.1,5.0,14.9,1.2,0.4,20.7,22.6,-0.1,0.2,0.1,0.009000000000000001,-1.6,0.8,-0.8,84.2,106.8,0.73,?,?,?,?,?,?,?,0.99668723,0,0
Chris Duarte,2020-21,78,190,PG/SG,Oregon,4,237.0,25,25,847,26.2,0.66,0.637,0.484,0.267,384.0,2.4,14.7,8.6,15.1,3.3,2.9,15.3,24.0,3.0,1.4,4.4,0.209,7.6,3.5,11.1,121.0,98.3,1.09,?,?,?,?,?,?,?,0.0018910766,0,0
DJ Stewart,2020-21,78,205,SG/SF,Mississippi State,2,116.0,32,32,1118,16.8,0.52,0.475,0.32899999999999996,0.282,497.0,1.6,9.1,5.6,19.1,2.3,0.6,16.3,27.1,2.0,1.5,3.5,0.124,2.5,0.8,3.3,103.5,101.6,1.02,?,?,?,?,?,?,?,0.00019192696,0,0
Aaron Henry,2020-21,78,210,SG/SF,Michigan State,3,140.0,28,26,910,20.0,0.521,0.48200000000000004,0.223,0.289,421.0,4.8,14.6,9.7,25.2,2.4,4.1,16.2,27.2,1.5,1.2,2.7,0.11900000000000001,4.5,3.4,7.9,101.8,101.2,1.26,?,?,?,?,?,?,?,0.00039467216,0,0
Isaiah Livers,2020-21,79,230,SF/PF,Michigan,4,133.0,23,23,726,20.5,0.605,0.57,0.52,0.242,281.0,4.5,16.6,11.1,11.5,1.1,2.3,9.5,19.8,2.3,1.2,3.5,0.19399999999999998,6.8,3.6,10.4,124.0,98.0,1.77,?,?,?,?,?,?,?,1.4920024e-05,0,0
Jeremiah Robinson-Earl,2020-21,81,230,PF,Villanova,2,16.0,25,25,862,23.3,0.5579999999999999,0.534,0.263,0.26899999999999996,388.0,8.6,21.3,14.8,13.5,1.7,2.3,10.4,24.4,2.7,1.3,4.0,0.187,5.5,2.0,7.5,115.8,99.2,1.34,?,?,?,?,?,?,?,0.043554604,1,0
Terrence Shannon,2020-21,78,210,SG,Texas Tech,2,90.0,28,13,747,21.1,0.555,0.504,0.313,0.444,332.0,4.9,12.8,8.8,11.2,2.6,0.7,10.5,24.8,2.2,1.5,3.6,0.195,4.7,2.7,7.4,114.8,95.3,1.03,?,?,?,?,?,?,?,3.7970123e-05,1,0
Marcus Bagley,2020-21,80,215,SF,Arizona State,1,29.0,12,11,350,14.9,0.536,0.505,0.679,0.302,127.0,5.6,18.8,11.9,7.5,1.4,1.6,11.7,19.5,0.5,0.3,0.8,0.095,3.0,0.5,3.6,105.6,106.4,0.88,?,?,?,?,?,?,?,0.0038170815,1,0
Kofi Cockburn,2020-21,84,285,C,Illinois,2,46.0,31,31,837,31.4,0.637,0.654,0.0,0.664,483.0,15.6,24.0,20.1,1.3,0.7,4.8,11.2,28.5,3.7,1.8,5.5,0.261,7.6,2.0,9.5,122.8,93.5,0.09,?,?,?,?,?,?,?,3.2458306e-07,0,1
Micah Peavy,2020-21,79,215,SG,Texas Tech,1,44.0,29,25,589,12.3,0.46299999999999997,0.45899999999999996,0.019,0.239,187.0,11.2,7.0,9.1,13.5,1.7,1.3,15.7,18.3,0.6,0.9,1.6,0.105,-0.3,1.6,1.3,100.6,98.9,1.21,?,?,?,?,?,?,?,0.010252744,1,0
Miles McBride,2020-21,74,200,PG,West Virginia,2,301.0,29,28,991,22.7,0.5429999999999999,0.493,0.306,0.33899999999999997,473.0,3.7,9.2,6.3,28.6,3.1,1.0,11.2,22.8,3.4,1.2,4.7,0.18899999999999997,6.5,3.0,9.4,120.3,102.3,2.66,?,?,?,?,?,?,?,0.17443389,1,0
Trey Murphy,2020-21,81,205,SF/PF,Virginia,3,88.2103487064117,25,20,739,20.9,0.67,0.639,0.628,0.215,248.0,2.8,11.7,7.6,8.2,1.8,1.8,8.3,18.4,2.5,1.0,3.5,0.18899999999999997,6.0,2.5,8.4,129.8,101.9,1.58,?,?,?,?,?,?,?,2.6156333e-05,0,0
Hason Ward,2020-21,81,210,SF/PF,VCU,2,88.2103487064117,26,11,559,20.7,0.612,0.583,0.052000000000000005,0.391,172.0,9.4,18.9,14.4,9.5,1.7,12.5,20.4,16.0,1.0,1.5,2.5,0.177,1.0,5.5,6.5,111.7,88.3,0.74,?,?,?,?,?,?,?,1.7612682e-06,0,0
Mark Williams,2020-21,84,245,C,Duke,1,219.0,23,15,350,30.2,0.648,0.664,0.0,0.38299999999999995,157.0,14.5,20.0,17.2,9.5,2.1,9.6,13.7,20.8,1.3,0.6,1.9,0.217,6.0,3.7,9.8,125.0,97.4,0.85,?,?,?,?,?,?,?,2.7727605e-05,1,0
Olivier Sarr,2020-21,84,235,C,Kentucky,4,222.0,25,25,627,18.5,0.56,0.5,0.136,0.46,264.0,9.1,13.4,11.3,11.1,0.9,4.9,17.5,22.8,1.3,0.8,2.1,0.132,2.4,2.3,4.7,107.8,102.1,0.63,?,?,?,?,?,?,?,0.00016590953,0,0
