Season,Year,RSCI,First Name,Last Name,Conference,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,AST/TO%,OWS,DWS,WS,WS/40,WS/40 * BPM,OBPM,DBPM,BPM,FT%,3PT%,3PT Confidence,FG% on 2PT Jumpers,% 2PT Jumpers Assisted,Shooting%,FG% at Rim,% at Rim Assisted,Finishing%,Offensive Self Creation
2016-17,1,72,Lauri,Markkanen,Pac-12,37,37,1140,25,0.635,0.584,0.434,0.436,534,10,17.5,14,5.6,0.8,1.8,8.1,22.4,0.8,4.9,1.8,6.7,0.235,2.1855,7.8,1.5,9.3,83.5,42.3,18.3582,42.4,26,35.38,69.5,50,16.84,46.28
2016-17,1,17,TJ,Leaf,Pac-12,35,35,1048,26.6,0.66,0.652,0.152,0.278,536,9,19.7,14.9,13.2,1.1,3.5,10.8,22,1.63,4.2,1.6,5.8,0.22,2.134,6.7,3,9.7,67.9,46.6,7.0832,44.5,40.4,21.55,77.4,66.2,12.67,23.74
2015-16,2,97,Domantas,Sabonis,WCC,36,31,1149,29.3,0.654,0.618,0.036,0.499,617,11.7,28.2,20.7,11.3,1.1,2.7,16,25.6,0.7,4.6,2.8,7.5,0.26,2.34,5,4,9,76.9,35.7,1.2852,47.7,47.9,19.75,71.9,50.9,17.1,26.73
2015-16,2,354,Jakob,Poeltl,Pac-12,36,36,1093,31.1,0.665,0.646,0,0.674,597,11.9,22.1,17.4,13.9,1.1,5,13.7,25.7,0.95,4.9,1.9,6.8,0.251,2.8112,6.8,4.4,11.2,68.9,0,0,37.7,45,14.29,69.3,56.7,14.54,17.48
2015-16,2,28,Deyonta,Davis,Big Ten,35,16,650,23.9,0.601,0.598,0,0.191,242,13.5,19,16.5,7.5,0.8,10.2,12.1,19.2,0.87,1.7,1.6,3.3,0.204,2.2032,3.2,7.5,10.8,60.5,0,0,41.6,62.5,9.44,71.3,65.5,11.92,10.18
2015-16,2,354,Pascal,Siakam,WAC,34,34,1176,31.5,0.569,0.542,0.029,0.396,649,13.4,23.6,18.8,12,1.7,6.5,10,29.1,0.87,4.4,3.4,7.8,0.265,2.12,3.4,4.6,8,67.8,20,0.58,43.8,51.9,14.57,73.3,48.2,18.39,21.84
2015-16,1,56,Marquese,Chriss,Pac-12,34,34,848,21.7,0.585,0.561,0.178,0.382,428,9.8,11.6,10.7,6.3,1.9,5.8,14.7,24.1,0.38,1.9,1.2,3.1,0.148,0.8732,2.8,3.1,5.9,68.2,35,6.23,43.9,56.9,16.02,68.5,53,15.6,19.5
2015-16,1,10,Henry,Ellenson,Big East,33,33,1107,20.9,0.534,0.48,0.239,0.439,536,7.8,24.2,16.5,11,1.4,4.4,12.9,26.7,0.76,2,2,4,0.143,0.5148,0.9,2.7,3.6,74.9,28.8,6.8832,42.7,73.1,12.04,62.8,49.3,15.43,15.45
2015-16,1,2,Skal,Labissiere,SEC,36,18,567,18.5,0.54,0.516,0.011,0.326,214,7.3,14.6,11.1,3.6,0.9,10.3,13.1,22.1,0.33,0.9,1.1,2,0.142,0.7384,-0.4,5.6,5.2,66.1,0,0,45.9,75.4,7.46,67.3,59.5,13.2,8.05
2015-16,1,5,Cheick,Diallo,Big 12,27,1,202,20.5,0.572,0.569,0,0.466,74,10.5,27,19.4,0.9,2,11.9,19.4,21.7,0.06,0.2,0.6,0.8,0.159,0.6678,-2.7,6.9,4.2,55.6,0,0,45.7,56.2,11.13,73.9,76.5,8.41,7.14
2015-16,2,63,Chinanu,Onuaku,ACC,31,29,762,26.4,0.62,0.62,0.005,0.253,314,13.7,25.8,19.8,12.9,1.9,9.6,20.8,20.5,0.8,1.8,2.3,4.2,0.218,3.0302,3.6,10.2,13.9,58.9,0,0,51.8,35.6,19.65,73.6,66.7,11.87,19.09
2014-15,1,2,Jahlil,Okafor,ACC,38,38,1143,30.7,0.641,0.664,0,0.462,609,14.8,18.2,16.6,9.4,1.5,4.5,15.6,27.6,0.52,4.5,2.2,6.7,0.235,2.5615,6.8,4.1,10.9,51,0,0,50,38.8,15.61,76.5,53.8,17.12,21.08
2014-15,1,7,Karl,Towns,SEC,39,39,822,31.4,0.627,0.57,0.031,0.523,391,14.2,22.3,18.5,11.6,1.4,11.5,14.2,23.7,0.83,3.5,2.9,6.4,0.311,5.3803,6.5,10.8,17.3,81.3,25,0.775,43.1,37.3,22.36,75.7,46.4,19.66,34.63
2014-15,2,14,Bobby,Portis,SEC,36,36,1076,29.5,0.582,0.552,0.064,0.335,578,13.6,20.2,16.8,8.8,2.1,4.8,9.4,26.7,0.75,4.2,1.9,6.1,0.227,2.043,5.8,3.1,9,73.7,46.7,2.9888,37.6,62,12.02,75.4,48.6,18.78,18.43
2014-15,3,28,Willie,Cauley-Stein,SEC,39,38,1012,23.8,0.588,0.572,0,0.542,344,11.1,17.3,14.5,7.4,2.9,7.1,13.9,17.8,0.79,2.6,3.4,6,0.239,3.5133,4.7,10,14.7,61.7,0,0,33.3,35.5,13.25,72.7,69.2,10.85,12.36
2014-15,1,13,Trey,Lyles,SEC,36,21,828,19.8,0.543,0.496,0.121,0.425,308,9.9,16.1,13.3,9.2,1.4,2.1,12.4,20.8,0.93,2.1,2.3,4.4,0.213,1.8957,3.9,5.1,8.9,73.5,13.8,1.6698,39.2,57.1,13.2,74.4,60.9,14.09,15.81
2014-15,1,5,Myles,Turner,Big 12,34,7,755,25.5,0.556,0.488,0.241,0.436,310,7.2,24.9,16.7,6.2,0.8,12.3,13.2,25.1,0.43,1.9,2.1,4,0.213,1.8531,1.5,7.3,8.7,83.9,27.4,6.6034,42.7,64.3,16.09,71.7,65.1,12.12,15.49
2014-15,4,354,Larry,Nance,MWC,31,30,1082,25.3,0.581,0.533,0.117,0.403,472,6,21.1,14.1,20,2.3,4.3,14,28.5,1.09,2.8,2.6,5.4,0.199,1.3333,2.4,4.3,6.7,78.6,33.3,3.8961,36.5,63.9,12.3,81.8,63.6,14.43,15.49
2014-15,4,242,Frank,Kaminsky,Big Ten,39,39,1311,34.4,0.628,0.59,0.207,0.41,691,6,25.7,16.1,18.4,1.7,4.5,9.8,28.6,1.63,6.9,2.9,9.8,0.299,4.5747,9.5,5.8,15.3,78,41.6,8.6112,45.5,21.2,32.27,70,48.6,17.43,45.44
