RealGM ID,Name,School,Season,Height,Age,RSCI,n_opp,sq_ppp,blk,stl,oreb,dreb,rim_freq,rim_sq,three_freq,three_sq,tov_freq,spacing,passing,Win Shares,NBA Minutes
81056,Wade Baldwin IV,VAN,2016,76,20.3,131.0,503,55,17,10,22,9,22,39,41,85,24,75,10,4.65,193.0
53707,Yuta Watanabe,GWU,2016,81,21.7,314.0,205,58,18,10,42,10,39,33,64,19,69,48,10,2.99,361.8
58185,David Nwaba,SLO,2016,77,23.5,400.0,360,61,5,2,74,2,74,87,18,24,49,19,2,2.65,763.9
42594,D.J. Balentine,EA,2016,74,22.9,400.0,612,61,4,2,41,2,32,58,47,44,77,69,2,5.05,0.0
70435,JT Strickland,MER,2016,73,22.3,400.0,294,89,10,6,41,6,22,27,38,85,60,53,6,,0.0
24269,D'Vauntes Smith-Rivera,GT,2016,75,23.5,36.0,532,58,4,2,35,2,22,38,77,40,75,92,2,4.44,0.0
33244,Mike Gesell,IOW,2016,74,22.6,86.0,343,11,50,96,33,70,13,18,30,66,22,44,100,3.09,0.0
42322,Caris LeVert,UM,2016,78,21.8,239.0,228,94,3,1,8,1,33,28,58,90,83,56,1,3.4,1459.9
54846,Stephen Zimmerman,UNL,2016,83,19.8,11.0,296,32,25,9,76,10,77,81,22,69,30,26,9,2.19,107.8
57281,Kay Felder,OAK,2016,69,21.3,400.0,713,79,11,6,36,6,35,65,46,29,63,86,6,7.86,262.6
80992,Gary Payton II,OSU,2016,75,23.6,123.0,550,51,7,4,87,4,57,91,30,30,65,47,4,5.2,342.6
44580,A.J. English,ION,2016,76,24.0,400.0,576,82,1,1,22,1,22,42,76,84,45,98,1,5.28,0.0
73162,Deyonta Davis,MSU,2016,81,19.6,26.0,243,88,100,26,96,87,98,99,3,3,72,9,36,3.4,433.0
59508,Derrick Jones Jr,UNL,2016,78,19.4,48.0,299,98,5,3,72,3,89,95,28,18,82,29,3,3.31,922.8
57247,James Webb III,BSU,2016,81,22.9,400.0,402,79,8,5,78,5,75,93,43,11,93,40,5,4.83,119.9
24694,Rob Gray,UH,2016,76,22.2,400.0,358,71,46,72,19,23,15,25,65,51,96,68,57,2.92,0.0
42074,Skal Labissiere,Ken,2016,83,20.3,2.0,247,40,99,25,70,58,79,84,12,24,62,11,16,2.1,648.8
24670,Anthony Barber,NCS,2016,73,21.9,25.0,792,70,27,65,47,90,8,24,33,49,85,79,96,5.67,12.9
42557,Shaquille Harrison,TU,2016,75,22.7,400.0,452,55,56,99,54,90,34,53,23,22,63,28,97,4.24,530.7
80940,Patrick McCaw,UNL,2016,79,20.7,198.0,449,87,14,8,54,8,45,66,75,72,62,92,8,5.12,674.4
24189,Sheldon McClellan,UM,2016,78,23.5,45.0,471,100,16,9,29,9,41,64,60,83,94,82,9,5.91,286.8
42072,Daniel Hamilton,CON,2016,79,20.9,17.0,524,15,79,92,64,100,16,30,52,39,37,69,96,4.94,116.0
42366,Craig Sword,MIS,2016,75,22.5,134.0,475,32,91,95,66,68,51,71,42,12,14,51,88,2.12,19.0
22358,Kyle Collinsworth,BYU,2016,78,24.7,156.0,594,18,82,100,93,99,46,70,22,19,21,28,100,5.9,479.5
24258,Rasheed Sulaimon,UMD,2016,76,22.3,14.0,403,66,40,96,14,86,7,13,66,93,31,90,93,4.27,0.0
24650,Adam Woodbury,IOW,2016,85,22.5,46.0,263,76,67,47,97,97,91,95,1,1,31,1,39,3.25,0.0
52567,Tyler Ulis,Ken,2016,70,20.5,19.0,601,75,46,98,40,68,4,11,54,45,81,85,100,7.34,927.3
42414,Isaiah Cousins,UOK,2016,76,22.3,260.0,557,18,68,98,49,94,5,10,56,80,40,90,98,3.93,0.0
41432,Mamadou Ndiaye,UCI,2016,90,22.8,99.0,367,92,100,18,93,97,77,93,7,7,18,6,26,4.32,0.0
52544,Jaylen Brown,CAL,2016,78,19.7,4.0,585,37,87,78,72,94,39,63,37,23,23,58,76,2.88,1926.6
42067,Jonah Bolden,UCL,2016,82,20.5,33.0,171,27,91,67,67,85,75,62,42,29,34,34,47,1.48,342.9
42078,Isaiah Whitehead,SHU,2016,76,21.3,14.0,732,32,98,93,41,81,6,18,61,56,32,96,98,4.34,911.5
24687,Wayne Selden,KU,2016,77,21.8,13.0,521,79,26,16,56,15,40,65,70,85,67,96,29,4.59,596.2
42884,Bryn Forbes,MSU,2016,74,22.9,400.0,399,100,19,44,15,45,3,3,96,100,99,100,58,5.06,1385.6
42349,Alex Caruso,TAM,2016,76,22.3,85.0,324,30,76,100,69,71,39,49,46,84,3,65,99,4.44,926.2
26603,Sterling Gibbs,CON,2016,74,23.0,173.0,425,88,25,85,22,49,6,10,85,90,81,97,82,4.34,0.0
73136,Dejounte Murray,WAS,2016,77,19.8,49.0,663,27,68,100,83,96,39,69,37,23,40,66,96,3.0,1651.3
24159,Dorian Finney-Smith,UF,2016,79,23.2,24.0,533,81,6,3,91,3,65,92,69,85,70,99,3,5.41,1793.2
41431,Marcus Lee,Ken,2016,83,21.8,18.0,211,92,99,31,99,91,100,99,7,7,37,4,16,3.17,0.0
30886,Roosevelt Jones,BUT,2016,76,23.4,142.0,520,41,74,98,92,95,66,90,12,35,52,15,98,4.43,0.0
24248,Kaleb Tarczewski,UA,2016,84,23.3,8.0,244,92,95,24,94,98,88,90,6,6,73,4,31,3.21,0.0
43419,Stefan Moody,UM,2016,70,22.7,335.0,723,84,40,96,59,44,20,43,73,72,44,100,94,5.22,0.0
28240,Kris Dunn,PRF,2016,75,22.3,16.0,596,35,82,100,70,93,44,68,38,48,22,76,100,4.65,982.9
49322,Malachi Richardson,SYR,2016,78,20.5,34.0,562,53,69,95,41,93,13,28,76,56,57,97,75,3.43,208.3
42388,Zach Auguste,ND,2016,82,23.0,108.0,527,71,96,73,100,100,82,98,11,11,35,3,46,4.41,0.0
