Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM,MODEL TOTAL
Quentin Grimes,2020-21,77,205,SG,Houston,3,10.0,28,28,911,23.8,0.561,0.53,0.5760000000000001,0.263,454.0,5.7,14.5,10.1,11.7,2.5,1.1,10.6,27.2,3.5,2.4,5.9,0.258,8.1,2.8,10.9,120.2,88.4,1.0,?,?,?,?,?,?,?,0.9977846,0,1,14.946879348894072
Jalen Wilson,2020-21,80,215,SF,Kansas,1,53.0,29,26,822,18.0,0.517,0.48700000000000004,0.44,0.436,347.0,8.6,22.7,15.6,13.6,0.8,1.2,14.5,23.3,1.6,1.4,3.0,0.145,4.1,1.8,5.9,106.0,97.3,1.04,?,?,?,?,?,?,?,0.004287958,1,1,14.784921439266766
Isaiah Jackson,2020-21,82,205,PF,Kentucky,1,30.0,25,18,518,25.4,0.5870000000000001,0.54,0.015,0.657,208.0,11.2,23.3,17.3,7.5,2.1,12.7,17.5,20.5,1.2,1.2,2.4,0.187,2.3,6.1,8.4,111.9,90.7,0.47,?,?,?,?,?,?,?,9.505209e-05,1,1,13.875031482732195
Marcus Bagley,2020-21,80,215,SF,Arizona State,1,29.0,12,11,350,14.9,0.536,0.505,0.679,0.302,127.0,5.6,18.8,11.9,7.5,1.4,1.6,11.7,19.5,0.5,0.3,0.8,0.095,3.0,0.5,3.6,105.6,106.4,0.88,?,?,?,?,?,?,?,0.008427471,1,0,13.716336474727044
Davion Mitchell,2020-21,74,205,PG,Baylor,3,59.0,27,27,891,22.2,0.638,0.631,0.48200000000000004,0.217,398.0,1.7,7.7,4.7,26.6,3.5,1.3,18.7,20.1,3.1,1.8,4.9,0.22,6.2,3.7,10.0,123.7,95.0,2.07,?,?,?,?,?,?,?,0.02502796,1,0,13.715892613227336
Joel Ayayi,2020-21,77,180,PG/SG,Gonzaga,3,88.21034870641171,28,27,864,21.1,0.664,0.643,0.36200000000000004,0.25,346.0,6.7,19.2,13.4,13.2,2.0,0.6,13.8,15.9,3.0,1.9,4.9,0.225,6.6,3.3,9.9,132.3,92.8,2.0,?,?,?,?,?,?,?,0.25686553,1,0,13.255187243223329
Ziaire Williams,2020-21,80,185,SG/SF,Stanford,1,6.0,20,14,558,11.1,0.473,0.431,0.389,0.24100000000000002,213.0,2.4,16.4,9.9,16.4,1.7,2.2,20.4,26.5,-0.2,0.9,0.6,0.046,-1.2,1.5,0.3,86.3,99.2,0.76,?,?,?,?,?,?,?,0.9999777,1,0,13.065755083420301
Jared Butler,2020-21,75,195,PG/SG,Baylor,3,97.0,27,27,813,24.8,0.591,0.569,0.491,0.23399999999999999,446.0,1.6,11.2,6.4,27.9,4.0,1.5,17.2,27.4,3.0,1.8,4.8,0.23600000000000002,6.9,4.2,11.1,116.6,92.2,1.62,?,?,?,?,?,?,?,0.018596381,0,0,13.022430777549767
Neemias Queta,2020-21,84,245,C,Utah State,3,88.21034870641171,29,29,871,30.5,0.5920000000000001,0.5589999999999999,0.006999999999999999,0.46799999999999997,426.0,10.8,27.0,19.0,18.6,2.0,13.2,15.9,24.3,2.8,2.9,5.8,0.265,5.2,6.9,12.1,116.4,80.6,1.12,?,?,?,?,?,?,?,0.00016704202,0,1,12.912851464026588
Scottie Lewis,2020-21,77,190,SG/SF,Florida,2,7.0,21,9,538,14.5,0.535,0.5,0.344,0.43,166.0,4.0,9.8,7.1,10.4,3.5,4.4,20.2,18.0,0.5,0.9,1.4,0.10400000000000001,1.3,4.5,5.8,100.2,98.1,0.79,?,?,?,?,?,?,?,0.9999175,1,0,11.199675894727989
Luka Garza,2020-21,83,265,C,Iowa,4,118.0,31,31,975,35.5,0.62,0.596,0.19699999999999998,0.392,655.0,10.5,18.3,14.6,12.2,1.2,5.3,7.2,32.5,5.5,1.4,6.9,0.282,11.9,1.8,13.7,127.3,100.5,1.15,?,?,?,?,?,?,?,0.12438692,0,0,11.124302309667682
Kofi Cockburn,2020-21,84,285,C,Illinois,2,46.0,31,31,837,31.4,0.637,0.654,0.0,0.664,483.0,15.6,24.0,20.1,1.3,0.7,4.8,11.2,28.5,3.7,1.8,5.5,0.261,7.6,2.0,9.5,122.8,93.5,0.09,?,?,?,?,?,?,?,0.00061267614,0,0,10.23410480611717
Charles Bassey,2020-21,83,235,PF/C,Western Kentucky,3,6.0,28,28,851,32.7,0.643,0.617,0.179,0.353,441.0,13.2,30.8,22.4,5.6,0.7,11.5,13.9,26.4,3.3,2.1,5.4,0.254,6.5,2.6,9.1,121.1,90.5,0.31,?,?,?,?,?,?,?,0.1630868,0,1,8.407922236516242
Jason Preston,2020-21,76,185,PG,Ohio,3,88.21034870641171,20,20,691,24.0,0.583,0.579,0.332,0.19,352.0,3.6,20.6,12.2,38.6,2.3,0.8,18.2,23.4,2.2,1.0,3.2,0.18600000000000005,5.4,1.8,7.2,115.1,100.0,2.42,?,?,?,?,?,?,?,0.00046163797,0,0,7.991713464260807
Corey Kispert,2020-21,79,220,SF,Gonzaga,4,106.0,28,28,866,26.9,0.696,0.665,0.522,0.265,460.0,3.4,14.1,9.2,8.8,1.5,1.3,9.0,23.2,4.2,1.7,5.9,0.27399999999999997,9.8,1.9,11.7,136.7,95.1,1.26,?,?,?,?,?,?,?,0.55782914,0,0,7.557762170685183
Orlando Robinson,2020-21,84,235,C,Fresno State,2,365.0,24,24,765,21.2,0.53,0.47200000000000003,0.17,0.53,359.0,10.0,24.3,17.1,15.6,1.7,3.0,18.5,27.5,1.4,1.3,2.7,0.141,2.3,0.3,2.6,103.0,98.1,0.67,?,?,?,?,?,?,?,0.99694353,0,0,6.996942460536957
Allen Flanigan,2020-21,78,215,SG/SF,Auburn,2,298.0,27,27,821,17.0,0.588,0.537,0.485,0.466,372.0,3.6,15.5,9.7,18.9,1.6,0.6,21.4,23.6,1.7,0.8,2.5,0.121,2.9,0.8,3.7,107.1,105.0,0.88,?,?,?,?,?,?,?,0.9918897,0,0,6.991889715194702
Feron Hunt,2020-21,80,195,SF,SMU,3,194.0,16,16,451,20.5,0.608,0.58,0.2,0.36,163.0,8.5,22.4,15.7,4.3,2.1,3.5,16.5,19.1,0.9,1.0,1.9,0.16899999999999998,3.7,2.1,5.8,111.7,92.6,0.34,?,?,?,?,?,?,?,0.9881102,0,0,6.9880088567733765
Chris Duarte,2020-21,78,190,PG/SG,Oregon,4,237.0,25,25,847,26.2,0.66,0.637,0.484,0.267,384.0,2.4,14.7,8.6,15.1,3.3,2.9,15.3,24.0,3.0,1.4,4.4,0.209,7.6,3.5,11.1,121.0,98.3,1.09,?,?,?,?,?,?,?,0.983709,0,0,6.98370897769928
Olivier Sarr,2020-21,84,235,C,Kentucky,4,222.0,25,25,627,18.5,0.56,0.5,0.136,0.46,264.0,9.1,13.4,11.3,11.1,0.9,4.9,17.5,22.8,1.3,0.8,2.1,0.132,2.4,2.3,4.7,107.8,102.1,0.63,?,?,?,?,?,?,?,0.97243893,0,0,6.972438931465149
Terrence Clarke,2020-21,79,195,SG,Kentucky,1,8.0,8,6,229,7.6,0.45799999999999996,0.45399999999999996,0.303,0.22399999999999998,74.0,2.9,7.1,5.0,14.9,1.2,0.4,20.7,22.6,-0.1,0.2,0.1,0.009000000000000001,-1.6,0.8,-0.8,84.2,106.8,0.73,?,?,?,?,?,?,?,0.9999973,0,0,6.8387474230439675
Myles Cale,2020-21,78,210,SG,Seton Hall,4,92.0,27,27,833,15.1,0.56,0.5379999999999999,0.484,0.23,274.0,3.0,10.5,6.8,6.0,1.9,0.3,10.0,19.1,1.6,0.8,2.4,0.114,2.8,1.2,4.0,111.2,105.4,0.77,?,?,?,?,?,?,?,0.77835876,0,0,6.778085751999963
Sandro Mamukelashvili,2020-21,83,240,PF,Seton Hall,4,199.0,27,27,961,20.2,0.525,0.488,0.32299999999999995,0.344,470.0,6.1,18.5,12.4,20.6,1.8,1.7,16.5,28.8,1.8,1.3,3.1,0.127,4.9,1.2,6.2,102.7,101.6,0.98,?,?,?,?,?,?,?,0.7534696,0,0,6.753469586372594
Kai Jones,2020-21,83,220,C,Texas,2,51.0,26,4,594,20.7,0.6459999999999999,0.626,0.23800000000000002,0.517,220.0,10.0,13.5,11.8,5.4,2.1,4.2,16.8,18.0,1.6,1.1,2.7,0.182,4.0,3.4,7.4,120.2,96.3,0.44,?,?,?,?,?,?,?,0.016291141999999998,1,0,6.596211553313878
Trey Murphy,2020-21,81,205,SF/PF,Virginia,3,88.21034870641171,25,20,739,20.9,0.67,0.639,0.628,0.215,248.0,2.8,11.7,7.6,8.2,1.8,1.8,8.3,18.4,2.5,1.0,3.5,0.18899999999999997,6.0,2.5,8.4,129.8,101.9,1.58,?,?,?,?,?,?,?,0.58309144,0,0,6.58238711721086
