Player,Seasons,Wins Added,WA / Season,Career LEBRON,Career O-LEBRON,Career D-LEBRON
DeAndre Jordan,12,72.0,6.0,+2.06,-0.14,+2.20
Kemba Walker,10,68.1,6.8,+1.99,+2.40,-0.40
DeMarcus Cousins,10,53.8,5.4,+1.99,+0.89,+1.10
Andre Drummond,9,57.6,6.4,+2.05,+0.20,+1.84
Ricky Rubio,10,56.9,5.7,+2.14,+1.08,+1.06
Paul Pierce,8,43.2,5.4,+1.92,+1.11,+0.81
Andrew Bogut,10,32.6,3.3,+1.96,-1.60,+3.57
Marcus Camby,4,17.0,4.2,+2.36,-0.55,+2.92
Deron Williams,8,51.2,6.4,+1.95,+2.64,-0.70
Josh Smith,8,44.4,5.6,+1.75,-0.04,+1.79
Danny Granger,6,23.0,3.8,+1.68,+1.71,-0.03
Jusuf Nurkic,7,23.6,3.4,+1.99,-0.45,+2.43
Al Horford,12,64.3,5.4,+1.73,+0.58,+1.15
Fred VanVleet,5,20.9,4.2,+1.93,+1.30,+0.62
John Wall,10,59.1,5.9,+1.75,+1.52,+0.23
Joakim Noah,11,41.9,3.8,+1.83,-0.22,+2.05
Bam Adebayo,4,21.6,5.4,+1.81,+0.18,+1.63
Nene,10,38.3,3.8,+1.60,-0.13,+1.73
Chris Andersen,8,17.8,2.2,+1.74,-0.44,+2.18
Michael Porter Jr.,2,8.4,4.2,+2.13,+1.86,+0.27
Chris Boucher,4,6.3,1.6,+1.58,+1.11,+0.47
Ben Simmons,4,25.5,6.4,+1.77,+0.62,+1.16
Andrew Bynum,4,15.6,3.9,+1.52,+0.02,+1.50
Danny Green,12,51.1,4.3,+1.63,+0.25,+1.38
Robert Covington,8,37.7,4.7,+1.68,-0.36,+2.04
Andre Iguodala,12,61.1,5.1,+1.59,+0.50,+1.09
Ben Wallace,3,11.5,3.8,+1.81,-1.39,+3.20
Baron Davis,3,13.0,4.3,+1.78,+1.77,+0.01
Christian Wood,5,8.1,1.6,+1.52,+0.79,+0.73
Danilo Gallinari,11,52.2,4.7,+1.66,+1.70,-0.04
Alan Williams,4,2.3,0.6,+1.60,+0.39,+1.21
Derrick White,4,12.7,3.2,+1.80,+0.86,+0.94
Tiago Splitter,7,17.0,2.4,+1.43,-0.07,+1.50
Boban Marjanovic,6,6.6,1.1,+1.59,+1.36,+0.23
George Hill,12,53.4,4.5,+1.47,+1.07,+0.40
Andrei Kirilenko,5,16.9,3.4,+1.53,+0.32,+1.21
Nikola Mirotic,5,19.9,4.0,+1.55,+1.22,+0.33
Brook Lopez,12,54.8,4.6,+1.20,+0.29,+0.91
Pascal Siakam,5,23.6,4.7,+1.53,+0.50,+1.04
Mitchell Robinson,3,9.4,3.1,+1.56,-0.33,+1.89
Eric Bledsoe,11,50.4,4.6,+1.53,+0.84,+0.70
Robert Williams III,3,4.0,1.3,+1.33,-0.18,+1.51
Anderson Varejao,9,19.9,2.2,+1.47,+0.05,+1.41
Donovan Mitchell,4,22.7,5.7,+1.32,+1.79,-0.47
Khris Middleton,9,46.9,5.2,+1.48,+1.11,+0.37
Lamar Odom,4,20.0,5.0,+1.50,+0.03,+1.47
Jrue Holiday,12,63.6,5.3,+1.41,+1.05,+0.36
Eric Moreland,4,2.2,0.6,+1.36,-1.84,+3.21
Gerald Wallace,6,28.9,4.8,+1.40,-0.31,+1.71
Andre Miller,7,28.4,4.1,+1.29,+1.58,-0.29
Salah Mejri,4,5.8,1.5,+1.27,-1.60,+2.87
Otto Porter Jr.,8,27.8,3.5,+1.25,+0.45,+0.80
David West,9,38.6,4.3,+1.01,+0.25,+0.77
Amir Johnson,10,36.4,3.6,+1.00,-0.40,+1.40
Serge Ibaka,12,57.1,4.8,+1.24,-0.31,+1.55
Jarrett Allen,4,16.4,4.1,+1.07,-0.21,+1.28
Zach Randolph,9,45.5,5.1,+1.20,+1.35,-0.16
Nikola Vucevic,10,47.4,4.7,+1.17,+0.19,+0.98
Chauncey Billups,5,15.8,3.2,+1.53,+2.58,-1.05
Isaiah Thomas,10,35.2,3.5,+1.15,+3.10,-1.95
Immanuel Quickley,1,2.7,2.7,+0.99,+1.73,-0.74
Shawn Long,1,0.5,0.5,+1.16,+1.54,-0.38
Donte DiVincenzo,3,8.6,2.9,+1.12,+0.01,+1.10
Klay Thompson,8,46.4,5.8,+1.10,+1.55,-0.45
Myles Turner,6,25.6,4.3,+1.13,-1.32,+2.44
Victor Oladipo,8,33.9,4.2,+1.09,+0.38,+0.71
Gordon Hayward,11,48.3,4.4,+1.09,+1.33,-0.24
Richaun Holmes,6,15.5,2.6,+1.08,+0.24,+0.84
Tyson Chandler,11,35.3,3.2,+0.88,-0.91,+1.79
Patrick Beverley,9,28.7,3.2,+1.00,+0.36,+0.64
Greg Oden,2,1.5,0.8,+0.85,-0.78,+1.63
Al Jefferson,9,34.4,3.8,+0.70,+0.27,+0.43
Derrick Favors,11,41.0,3.7,+0.99,-0.35,+1.35
Ty Lawson,8,34.6,4.3,+0.90,+2.00,-1.10
Dejounte Murray,4,13.4,3.3,+1.09,-0.27,+1.35
Nicolas Claxton,2,1.8,0.9,+1.10,-0.88,+1.98
Ivica Zubac,5,10.7,2.1,+0.91,-0.68,+1.59
Larry Sanders,6,10.2,1.7,+0.98,-2.27,+3.25
Brandon Roy,3,8.6,2.9,+1.02,+2.25,-1.22
Montrezl Harrell,6,17.7,3.0,+0.91,+0.90,+0.01
Kenneth Faried,8,25.1,3.1,+0.89,+0.81,+0.08
CJ McCollum,8,36.3,4.5,+0.98,+1.60,-0.61
Jeff Withey,5,4.5,0.9,+0.94,-0.69,+1.63
Jakob Poeltl,5,14.9,3.0,+1.15,-0.49,+1.64
Channing Frye,9,30.7,3.4,+0.92,+0.67,+0.25
Brandan Wright,8,12.6,1.6,+0.89,+0.36,+0.53
Carmelo Anthony,12,55.1,4.6,+0.91,+1.94,-1.03
Steven Adams,8,34.0,4.3,+0.91,-0.23,+1.13
Bradley Beal,9,46.3,5.1,+0.99,+1.87,-0.87
Luol Deng,10,42.2,4.2,+0.88,+0.38,+0.49
Brandon Clarke,2,6.0,3.0,+0.97,+0.22,+0.75
Joe Ingles,7,30.2,4.3,+0.91,+0.28,+0.63
Vince Carter,11,36.5,3.3,+0.88,+0.60,+0.28
Marcin Gortat,10,41.6,4.2,+0.82,-0.76,+1.58
Daniel Theis,4,11.3,2.8,+1.05,-0.55,+1.60
Lucas Nogueira,4,3.7,0.9,+0.82,-1.37,+2.19
Tony Allen,9,26.3,2.9,+0.77,-1.04,+1.81
Ryan Anderson,11,30.7,2.8,+0.67,+2.08,-1.41
Elton Brand,7,19.8,2.8,+0.52,-0.90,+1.42
Jonas Valanciunas,9,33.3,3.7,+0.82,+0.00,+0.82
Chris Chiozza,3,1.4,0.5,+0.81,+0.64,+0.17
Kyle O'Quinn,8,13.9,1.7,+0.79,-0.60,+1.39
De'Anthony Melton,3,6.7,2.2,+0.84,-0.36,+1.20
Matt Bonner,7,13.5,1.9,+0.74,+0.70,+0.04
Aaron Gordon,7,26.1,3.7,+0.72,+0.39,+0.33
Shane Battier,5,20.2,4.0,+0.94,+0.08,+0.86
Rasheed Wallace,2,4.4,2.2,+0.84,-1.05,+1.89
Domantas Sabonis,5,19.5,3.9,+0.71,-0.24,+0.95
Goran Dragic,12,45.5,3.8,+0.59,+1.49,-0.90
Jeff Foster,3,2.8,0.9,+0.81,-0.05,+0.86
Mason Plumlee,8,26.1,3.3,+0.70,-0.36,+1.06
Jae Crowder,9,33.4,3.7,+0.69,+0.30,+0.38
John Collins,4,14.1,3.5,+0.79,+0.81,-0.02
Jeff Teague,12,43.7,3.6,+0.64,+0.79,-0.15
Marcus Smart,7,25.9,3.7,+0.63,+0.04,+0.59
Jared Sullinger,5,12.9,2.6,+0.64,-0.09,+0.73
Metta World Peace,7,21.2,3.0,+0.74,-0.06,+0.80
Malcolm Brogdon,5,17.9,3.6,+0.71,+1.10,-0.39
Tony Parker,10,34.9,3.5,+0.61,+0.94,-0.33
Duncan Robinson,3,9.9,3.3,+0.90,+0.59,+0.31
Jamal Murray,5,20.0,4.0,+0.58,+1.35,-0.77
Tyus Jones,6,12.9,2.1,+0.51,+0.55,-0.04
Greg Monroe,9,31.2,3.5,+0.37,+0.55,-0.18
Jonathan Isaac,3,6.8,2.3,+0.61,-1.58,+2.19
Nikola Pekovic,6,12.2,2.0,+0.40,+0.27,+0.14
Derrick Rose,11,32.9,3.0,+0.49,+1.58,-1.10
Kyle Anderson,7,18.3,2.6,+0.70,-1.01,+1.70
Michael Kidd-Gilchrist,8,21.3,2.7,+0.60,-1.05,+1.64
Shaquille O'Neal,2,4.0,2.0,+0.66,-1.16,+1.82
Delon Wright,6,14.1,2.3,+0.64,+0.38,+0.26
Chandler Parsons,9,25.2,2.8,+0.53,+0.54,-0.01
Lonzo Ball,4,13.6,3.4,+0.60,-0.24,+0.84
Pierre Jackson,1,0.2,0.2,+0.55,+0.37,+0.18
Kelly Olynyk,8,25.1,3.1,+0.66,+0.07,+0.59
Nicolas Batum,12,47.0,3.9,+0.49,+0.53,-0.04
Amar'e Stoudemire,7,19.3,2.8,+0.22,+0.68,-0.46
Ray Allen,5,20.4,4.1,+0.41,+0.93,-0.53
Matt Mooney,1,0.0,0.0,+0.53,+0.01,+0.52
Naji Marshall,1,1.0,1.0,-0.16,-0.90,+0.74
Kyle Korver,11,35.6,3.2,+0.47,+0.54,-0.07
David Lee,8,27.2,3.4,+0.20,+0.47,-0.28
Larry Nance Jr.,6,15.8,2.6,+0.47,-0.63,+1.10
Antawn Jamison,5,14.1,2.8,+0.24,+1.21,-0.98
Alec Peters,1,0.4,0.4,+0.46,+0.70,-0.25
Rudy Gay,12,46.0,3.8,+0.48,+0.40,+0.08
Davis Bertans,5,12.0,2.4,+0.43,+0.70,-0.27
DeMar DeRozan,12,53.4,4.4,+0.35,+1.38,-1.03
Luke Kornet,4,3.8,0.9,+0.49,-0.35,+0.84
Spencer Dinwiddie,7,15.1,2.2,+0.43,+1.20,-0.77
Ersan Ilyasova,12,31.7,2.6,+0.33,+0.16,+0.17
Cody Zeller,8,19.6,2.5,+0.45,-0.54,+1.00
Morris Almond,1,0.1,0.1,-0.00,-0.02,+0.02
Rajon Rondo,12,39.3,3.3,+0.48,+0.23,+0.25
Jason Richardson,5,16.7,3.3,+0.75,+1.02,-0.27
Emeka Okafor,5,13.4,2.7,+0.25,-1.57,+1.82
Reggie Jackson,10,29.2,2.9,+0.48,+1.14,-0.66
Lou Williams,12,39.3,3.3,+0.41,+2.32,-1.91
Dwight Powell,7,14.5,2.1,+0.43,-0.26,+0.69
Andre Roberson,7,12.3,1.8,+0.40,-1.31,+1.72
Trae Young,3,12.8,4.3,+0.53,+3.62,-3.10
Gustavo Ayon,3,3.9,1.3,+0.27,-1.08,+1.35
JaVale McGee,12,19.9,1.7,+0.25,-0.84,+1.09
Thomas Bryant,4,5.3,1.3,+0.35,+0.07,+0.28
Brad Miller,3,5.9,2.0,+0.51,-0.16,+0.66
Carrick Felix,1,0.1,0.1,+0.37,+0.06,+0.31
Mikal Bridges,3,12.9,4.3,+0.52,-0.17,+0.69
Mario Chalmers,8,26.9,3.4,+0.45,-0.12,+0.57
Cory Jefferson,2,1.0,0.5,+0.36,-0.64,+0.99
DeMarre Carroll,11,24.6,2.2,+0.39,+0.13,+0.25
Ja Morant,2,8.2,4.1,+0.67,+1.43,-0.77
Mehmet Okur,3,5.2,1.7,+0.48,-0.09,+0.57
Josh Harrellson,3,1.6,0.5,+0.31,-0.87,+1.18
Alex Caruso,4,6.6,1.7,+0.53,-0.91,+1.44
Al-Farouq Aminu,11,31.8,2.9,+0.39,-0.83,+1.21
Trevor Ariza,12,47.5,4.0,+0.39,-0.08,+0.48
Malik Newman,1,0.0,0.0,+0.32,-0.05,+0.37
Chris Wright,3,0.5,0.2,+0.12,-0.24,+0.36
Patty Mills,12,25.1,2.1,+0.25,+1.19,-0.94
Tobias Harris,10,37.2,3.7,+0.33,+0.33,-0.00
Roy Hibbert,8,26.7,3.3,+0.29,-1.58,+1.87
Devin Harris,10,27.0,2.7,+0.40,+0.98,-0.58
Joe Johnson,9,37.5,4.2,+0.32,+1.33,-1.00
Nick Calathes,2,3.5,1.7,+0.29,-0.96,+1.25
Xavier Tillman,1,1.8,1.8,+0.16,-1.02,+1.18
JJ Redick,12,38.1,3.2,+0.29,+1.59,-1.30
Tacko Fall,2,0.3,0.2,+0.66,-0.34,+1.00
Mike Dunleavy,8,21.9,2.7,+0.31,+0.04,+0.27
Omer Asik,8,16.3,2.0,+0.34,-1.71,+2.05
Samuel Dalembert,6,14.2,2.4,+0.20,-1.77,+1.97
Nick Collison,9,15.7,1.7,+0.21,-0.72,+0.93
Eric Mika,1,0.0,0.0,+0.26,+0.07,+0.19
Elfrid Payton,7,21.1,3.0,+0.15,+0.36,-0.21
Taj Gibson,12,36.0,3.0,+0.26,-0.76,+1.02
Carlos Delfino,4,13.1,3.3,+0.46,+0.13,+0.33
Willie Warren,1,0.2,0.2,+0.32,-0.08,+0.40
Jameer Nelson,9,26.4,2.9,+0.24,+0.90,-0.67
Jeremy Evans,7,4.2,0.6,+0.07,-0.67,+0.74
Willie Cauley-Stein,6,15.2,2.5,+0.19,-1.05,+1.24
Matt Barnes,8,24.5,3.1,+0.21,+0.07,+0.13
Jordan Bell,4,3.2,0.8,+0.20,-0.71,+0.91
Pero Antic,2,3.3,1.7,+0.22,-0.03,+0.25
Jeremy Lin,9,20.2,2.2,+0.17,+0.07,+0.10
Brandon Jennings,9,27.2,3.0,+0.11,+1.08,-0.97
Jae'Sean Tate,1,2.6,2.6,-0.37,-0.17,-0.20
Adonis Thomas,1,0.1,0.1,+0.20,+0.03,+0.17
Royce O'Neale,4,12.7,3.2,+0.37,-1.01,+1.38
Cameron Johnson,2,4.7,2.4,+0.31,+0.25,+0.06
Ryan Bowen,1,0.0,0.0,-0.77,-0.07,-0.70
Dorell Wright,6,16.4,2.7,+0.23,+0.27,-0.04
Willie Reed,3,3.1,1.0,+0.15,-0.81,+0.95
Kyle Guy,2,0.3,0.1,-0.77,+0.10,-0.87
Jared Dudley,12,27.6,2.3,+0.04,-0.03,+0.07
Mo Bamba,3,3.7,1.2,+0.03,-1.49,+1.52
Wesley Matthews,12,41.9,3.5,+0.07,+0.32,-0.24
Devon Dotson,1,0.1,0.1,+0.43,+0.28,+0.15
Isaiah Hartenstein,3,1.9,0.6,+0.47,-0.46,+0.92
Dewayne Dedmon,8,12.1,1.5,+0.14,-1.35,+1.49
Orien Greene,1,0.0,0.0,+0.24,+0.08,+0.16
JR Smith,11,29.8,2.7,+0.13,+0.89,-0.76
Jeremiah Martin,2,0.2,0.1,-0.30,+0.01,-0.31
Tony Mitchell,2,0.1,0.1,+0.11,-0.05,+0.16
Jemerrio Jones,1,0.2,0.2,+0.11,-0.49,+0.60
Devonte' Graham,3,7.3,2.4,+0.11,+1.49,-1.38
Shayne Whittington,2,0.2,0.1,+0.11,+0.15,-0.05
Charlie Brown Jr.,2,0.2,0.1,-0.91,-0.68,-0.24
Kosta Koufos,10,16.8,1.7,+0.04,-1.29,+1.33
Larry Owens,2,0.3,0.2,-0.19,-0.47,+0.28
Ronny Turiaf,6,5.7,1.0,+0.07,-1.88,+1.95
David Wear,1,0.0,0.0,+0.09,+0.17,-0.08
Sim Bhullar,1,0.0,0.0,+0.08,+0.13,-0.04
Thaddeus Young,12,40.3,3.4,-0.06,-0.22,+0.16
Kelenna Azubuike,2,0.4,0.2,+0.04,+0.13,-0.09
Darington Hobson,1,0.1,0.1,-0.35,-0.21,-0.14
Pablo Prigioni,4,7.2,1.8,+0.05,-0.24,+0.29
Thabo Sefolosha,11,25.4,2.3,+0.18,-1.26,+1.43
Rondae Hollis-Jefferson,6,10.7,1.8,+0.07,-0.85,+0.92
David Stockton,2,0.1,0.0,+0.07,+0.17,-0.10
Ryan Reid,1,0.0,0.0,-1.04,-0.08,-0.96
Jack Cooley,2,0.3,0.1,+0.06,-0.04,+0.09
Keith Benson,1,0.0,0.0,-0.56,-0.18,-0.38
Darius Johnson-Odom,2,0.0,0.0,-0.09,-0.20,+0.10
Royce White,1,0.0,0.0,+0.05,-0.00,+0.06
Antonio Daniels,1,0.0,0.0,-0.57,-0.28,-0.29
Shane Edwards,1,0.0,0.0,+0.05,-0.24,+0.29
Jaylen Brown,5,14.3,2.9,-0.02,-0.18,+0.16
Tyreke Evans,10,27.4,2.7,-0.06,+0.75,-0.81
Joe Alexander,1,0.0,0.0,-0.08,+0.17,-0.24
Tony Bradley,4,2.5,0.6,+0.29,+0.04,+0.25
Wendell Carter Jr.,3,5.8,1.9,+0.01,-1.67,+1.69
Rudy Fernandez,3,7.0,2.3,+0.35,+0.64,-0.30
Jason Hart,1,0.0,0.0,+0.07,-0.20,+0.26
Deandre Ayton,3,9.4,3.1,+0.24,+0.03,+0.21
Vincent Hunter,1,0.0,0.0,+0.03,+0.06,-0.03
Cole Aldrich,8,5.3,0.7,+0.04,-1.56,+1.60
Othyus Jeffers,3,0.6,0.2,-0.24,-0.10,-0.14
CJ Miles,11,22.9,2.1,+0.07,+0.52,-0.45
De'Aaron Fox,4,12.8,3.2,+0.01,+0.92,-0.91
Shavlik Randolph,4,0.7,0.2,-0.16,-0.28,+0.12
Jeremy Lamb,9,16.8,1.9,-0.01,+0.13,-0.14
Marques Bolden,2,0.0,0.0,+0.03,-0.35,+0.38
Josh Akognon,1,0.0,0.0,-0.46,-0.18,-0.28
Kevon Looney,6,6.7,1.1,+0.03,-0.61,+0.63
Mike Harris,3,0.5,0.2,-0.09,-0.73,+0.63
Trey Gilder,1,0.0,0.0,-0.28,-0.15,-0.13
Gani Lawal,1,0.0,0.0,-0.42,-0.29,-0.13
Patrick Ewing,1,0.0,0.0,-0.32,-0.11,-0.20
Paul Davis,1,0.0,0.0,+0.10,+0.09,+0.01
Jaren Jackson Jr.,3,5.3,1.8,+0.05,-0.95,+1.00
Mangok Mathiang,1,0.0,0.0,-0.03,-0.28,+0.26
Dwayne Jones,1,0.0,0.0,-1.09,-0.49,-0.60
Jahmi'us Ramsey,1,0.1,0.1,-0.29,-0.01,-0.28
Carldell Johnson,1,0.2,0.2,-0.00,-0.02,+0.02
Gorgui Dieng,8,18.0,2.2,-0.04,-1.21,+1.17
Bruno Caboclo,7,2.0,0.3,-0.04,-0.64,+0.60
Josh Magette,2,0.4,0.2,-0.04,-0.07,+0.03
Marcus Paige,1,0.0,0.0,-0.05,-0.06,+0.02
Tahjere McCall,1,0.0,0.0,-0.05,-0.05,+0.01
Jalen Brunson,3,7.0,2.3,+0.12,+0.77,-0.65
Jarell Eddie,3,0.3,0.1,-0.05,+0.40,-0.45
Jordan Sibert,1,0.0,0.0,-0.06,+0.03,-0.09
Brendan Haywood,5,9.8,2.0,+0.08,-1.55,+1.63
Antonio Anderson,1,0.0,0.0,-1.04,-0.26,-0.79
Michael Gbinije,1,0.0,0.0,-0.08,-0.19,+0.10
Kentavious Caldwell-Pope,8,26.3,3.3,-0.07,+0.22,-0.29
Jeff Adrien,5,3.5,0.7,+0.11,-0.38,+0.49
Omari Johnson,1,0.1,0.1,-0.09,+0.29,-0.37
Steve Novak,8,6.1,0.8,-0.03,+0.93,-0.96
Josh Richardson,6,16.9,2.8,-0.09,-0.50,+0.40
Pape Sy,1,0.0,0.0,-0.46,-0.41,-0.05
Devin Cannady,1,0.1,0.1,-0.43,-0.43,+0.01
Talen Horton-Tucker,2,1.9,0.9,-0.30,-0.68,+0.38
Jeff Foote,1,0.1,0.1,-0.26,-0.16,-0.10
Nerlens Noel,7,13.7,2.0,-0.15,-2.65,+2.51
Ronald Dupree,1,0.0,0.0,-0.17,-0.15,-0.01
Robert Woodard II,1,0.1,0.1,-0.08,+0.05,-0.13
Jose Calderon,10,22.7,2.3,-0.15,+0.96,-1.11
Ray Spalding,2,0.2,0.1,-0.12,-0.55,+0.43
Roko Ukic,1,0.1,0.1,-0.18,+0.23,-0.41
Matisse Thybulle,2,4.2,2.1,+0.14,-1.50,+1.64
Phil Pressey,3,2.9,1.0,-0.13,-0.45,+0.32
DeJuan Blair,7,9.5,1.4,-0.29,-0.67,+0.38
Damion Lee,4,4.9,1.2,-0.08,-0.44,+0.35
Louis King,2,0.2,0.1,-0.19,-0.21,+0.02
Jameel Warney,1,0.0,0.0,-0.14,-0.12,-0.02
Luis Scola,8,18.7,2.3,-0.37,-0.44,+0.07
Mitchell Creek,1,0.1,0.1,-0.15,-0.04,-0.11
Vernon Macklin,1,0.2,0.2,+0.04,+0.24,-0.20
Michael Carter-Williams,8,14.3,1.8,-0.15,-0.77,+0.62
Billy Garrett,1,0.1,0.1,-0.16,-0.23,+0.08
Josh McRoberts,9,12.2,1.4,-0.02,-0.42,+0.40
Monte Morris,4,6.8,1.7,-0.18,+0.69,-0.87
Oliver Lafayette,1,0.0,0.0,-1.23,-0.37,-0.86
Antonio McDyess,2,4.4,2.2,-0.09,-1.50,+1.40
James Johnson,12,19.8,1.7,-0.20,-0.96,+0.75
Andray Blatche,5,9.8,2.0,-0.52,-0.34,-0.17
Marvin Williams,11,31.8,2.9,-0.06,-0.45,+0.39
Maurice Ager,1,0.0,0.0,+0.19,+0.05,+0.14
Ronnie Brewer,5,10.9,2.2,+0.33,-0.79,+1.12
Mario West,2,0.2,0.1,-0.86,-0.82,-0.04
Jerrelle Benimon,1,0.0,0.0,-0.17,+0.01,-0.19
Casper Ware,1,0.2,0.2,-0.18,-0.21,+0.04
Scotty Hopson,2,0.0,0.0,-0.18,-0.29,+0.12
Taylor Griffin,1,0.0,0.0,-1.15,-0.70,-0.45
Maxi Kleber,4,8.5,2.1,-0.18,-0.72,+0.55
Scott Machado,2,0.1,0.0,-0.42,-0.32,-0.11
Derrick Byars,1,0.0,0.0,-0.64,-0.21,-0.43
Josh Gray,2,0.2,0.1,-0.19,-0.31,+0.12
Nemanja Bjelica,6,11.4,1.9,-0.18,-0.09,-0.09
Emanuel Terry,1,0.0,0.0,-0.19,+0.08,-0.27
Patrick Patterson,11,21.5,2.0,-0.15,+0.07,-0.22
Alize Johnson,3,0.6,0.2,+0.24,+0.29,-0.04
Paul Reed,1,0.3,0.3,+0.58,+0.34,+0.24
Blake Ahearn,1,0.0,0.0,-0.70,-0.21,-0.49
DJ Stephens,2,0.0,0.0,-0.20,-0.21,+0.01
Chuck Hayes,7,10.2,1.5,-0.17,-1.36,+1.19
Jonas Jerebko,9,15.3,1.7,-0.29,-0.26,-0.02
Andre Emmett,1,0.1,0.1,-0.47,-0.44,-0.03
Grant Jerrett,1,0.1,0.1,-0.21,+0.33,-0.54
Darren Collison,10,28.9,2.9,-0.22,+0.65,-0.87
Marcus Haislip,1,0.0,0.0,-0.84,-0.59,-0.25
Raymond Felton,10,24.4,2.4,-0.23,+0.29,-0.51
Matt Williams Jr.,1,0.0,0.0,-0.22,-0.05,-0.17
Daniel Gafford,2,2.9,1.5,+0.84,-0.90,+1.75
Cedric Jackson,1,0.1,0.1,-0.31,-0.25,-0.06
Jarnell Stokes,3,0.2,0.1,-0.22,-0.19,-0.03
Shawn Marion,6,16.7,2.8,-0.24,-0.60,+0.36
Elijah Millsap,3,1.6,0.5,-0.23,-1.37,+1.14
Tim Ohlbrecht,1,0.0,0.0,-0.74,-0.48,-0.26
Tyrell Terry,1,0.1,0.1,-0.23,-0.16,-0.07
Brodric Thomas,1,0.3,0.3,-1.25,-1.33,+0.09
Tracy McGrady,3,5.5,1.8,+0.28,-0.26,+0.54
Alen Smailagic,2,0.3,0.1,-0.54,-0.56,+0.02
Sundiata Gaines,3,2.3,0.8,+0.27,+0.28,-0.01
Joey Dorsey,3,2.1,0.7,-0.17,-1.27,+1.10
Zaza Pachulia,10,18.5,1.8,-0.23,-1.13,+0.90
Andre Ingram,2,0.1,0.1,-0.24,-0.27,+0.03
C.J. Watson,8,13.9,1.7,-0.20,-0.02,-0.17
Bryce Dejean-Jones,1,0.4,0.4,-0.24,-0.83,+0.59
Marcus Cousin,1,0.0,0.0,-0.98,-0.51,-0.47
Nate Robinson,7,9.8,1.4,-0.18,+0.99,-1.17
Kevin Martin,7,17.3,2.5,-0.19,+1.33,-1.52
Willy Hernangomez,5,5.6,1.1,-0.14,+0.21,-0.35
Keldon Johnson,2,2.7,1.3,-0.53,-0.35,-0.18
Arinze Onuaku,3,0.2,0.1,-0.26,-0.10,-0.15
Rodrigue Beaubois,4,4.3,1.1,-0.07,+0.27,-0.34
Ignas Brazdeikis,2,0.2,0.1,-1.11,-0.70,-0.41
Devyn Marble,2,0.6,0.3,-0.26,-0.54,+0.28
Yao Ming,1,0.1,0.1,-0.56,-0.85,+0.29
Tyler Honeycutt,2,0.2,0.1,-0.21,-0.25,+0.05
Ashton Hagans,1,0.0,0.0,-0.28,-0.26,-0.02
Justin James,2,0.4,0.2,-1.14,-0.76,-0.38
